기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20250410,060310,3S,KOSDAQ,중견기업부,2175,135,6.62,2120,2330,2120,2545873,56.3,1154.0,53059040
20250410,095570,AJ네트웍스,KOSPI,,3730,100,2.75,3770,3770,3700,45009,1.7,1688.0,45252759
20250410,006840,AK홀딩스,KOSPI,,10200,370,3.76,10010,10270,9900,4397,0.4,1351.0,13247561
20250410,054620,APS,KOSDAQ,중견기업부,6050,310,5.4,5840,6100,5580,43117,2.6,1204.0,19894221
20250410,265520,AP시스템,KOSDAQ,우량기업부,16090,770,5.03,16170,16340,15930,41520,6.7,2459.0,15281421
20250410,211270,AP위성,KOSDAQ,벤처기업부,10880,730,7.19,10690,10890,10560,64098,6.9,1641.0,15082304
20250410,109960,AP헬스케어,KOSDAQ,투자주의환기종목(소속부없음),386,17,4.61,375,391,375,248329,1.0,775.0,200789269
20250410,139050,BF랩스,KOSDAQ,관리종목(소속부없음),2805,0,0.0,0,0,0,0,0.0,242.0,8644551
20250410,027410,BGF,KOSPI,,3375,55,1.66,3365,3380,3330,25359,0.9,3230.0,95716791
20250410,282330,BGF리테일,KOSPI,,107400,2300,2.19,105500,107800,104800,33081,35.2,18563.0,17283906
20250410,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,2530,120,4.98,2460,2550,2445,58087,1.4,1588.0,62766899
20250410,138930,BNK금융지주,KOSPI,,9710,410,4.41,9550,9750,9480,1598936,153.6,30915.0,318383519
20250410,001460,BYC,KOSPI,,27150,550,2.07,26800,27500,26800,1718,0.5,1696.0,6246150
20250410,001465,BYC우,KOSPI,,12440,90,0.73,12350,12470,12310,6346,0.8,268.0,2153850
20250410,013720,CBI,KOSDAQ,중견기업부,672,13,1.97,690,690,665,82796,0.6,344.0,51128143
20250410,083790,CG인바이츠,KOSDAQ,벤처기업부,2050,67,3.38,2020,2150,1900,146636,2.9,1576.0,76894182
20250410,001040,CJ,KOSPI,,121100,4200,3.59,121400,122700,118800,193467,233.5,35333.0,29176998
20250410,079160,CJ CGV,KOSPI,,4455,125,2.89,4400,4505,4400,103398,4.6,7377.0,165580264
20250410,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,56700,2800,5.19,55500,56900,53900,84844,47.4,12434.0,21929154
20250410,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,9440,460,5.12,9110,9500,9110,11357,1.1,1233.0,13065462
20250410,00104K,CJ4우(전환),KOSPI,,93000,3700,4.14,93700,94300,90500,7763,7.2,3931.0,4226512
20250410,000120,CJ대한통운,KOSPI,,82200,900,1.11,82300,83600,81400,80871,66.7,18752.0,22812344
20250410,011150,CJ씨푸드,KOSPI,,3195,205,6.86,3080,3225,3070,947731,29.8,1148.0,35930773
20250410,011155,CJ씨푸드1우,KOSPI,,19000,900,4.97,18060,19200,18060,8331,1.6,38.0,200000
20250410,001045,CJ우,KOSPI,,64300,2500,4.05,63000,64500,62400,1036,0.7,1453.0,2260223
20250410,097950,CJ제일제당,KOSPI,,240000,11500,5.03,235500,240000,231000,73013,172.7,36130.0,15054186
20250410,097955,CJ제일제당 우,KOSPI,,131000,2600,2.02,131700,135000,128500,2512,3.3,1739.0,1327433
20250410,051500,CJ프레시웨이,KOSDAQ,우량기업부,22650,950,4.38,22150,22900,22100,23851,5.4,2689.0,11871586
20250410,058820,CMG제약,KOSDAQ,우량기업부,2030,191,10.39,1905,2040,1905,1100788,21.8,2820.0,138892244
20250410,023460,CNH,KOSDAQ,관리종목(소속부없음),109,0,0.0,0,0,0,0,0.0,41.0,37200000
20250410,056730,CNT85,KOSDAQ,중견기업부,672,5,0.75,662,673,662,10250,0.1,498.0,74111186
20250410,000480,CR홀딩스,KOSPI,,4875,165,3.5,4950,4950,4790,23490,1.1,2286.0,46890490
20250410,065770,CS,KOSDAQ,벤처기업부,2165,-35,-1.59,2180,2395,2120,2364882,53.0,420.0,19411130
20250410,083660,CSA 코스믹,KOSDAQ,중견기업부,710,30,4.41,680,720,670,466938,3.3,435.0,61247181
20250410,000590,CS홀딩스,KOSPI,,70700,500,0.71,70900,71000,68500,1800,1.3,816.0,1154482
20250410,012030,DB,KOSPI,,1194,64,5.66,1171,1200,1170,153406,1.8,2402.0,201173933
20250410,456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2170,-20,-0.91,2175,2205,2160,42535,0.9,115.0,5315000
20250410,477760,DB금융스팩12호,KOSDAQ,SPAC(소속부없음),2060,10,0.49,2050,2065,2050,9846,0.2,120.0,5840000
20250410,016610,DB금융투자,KOSPI,,5450,110,2.06,5420,5490,5380,53016,2.9,2313.0,42446389
20250410,005830,DB손해보험,KOSPI,,83300,4400,5.58,82000,83500,81200,218493,180.9,58976.0,70800000
20250410,000990,DB하이텍,KOSPI,,39650,2900,7.89,39900,39900,39050,168542,66.7,17604.0,44398588
20250410,139130,DGB금융지주,KOSPI,,8890,370,4.34,8660,8890,8650,389743,34.3,14792.0,166392833
20250410,099520,DGI,KOSDAQ,관리종목(소속부없음),1284,0,0.0,0,0,0,0,0.0,581.0,45281824
20250410,060900,DGP,KOSDAQ,중견기업부,924,37,4.17,895,926,890,52984,0.5,233.0,25258229
20250410,000300,DH오토넥스,KOSPI,,1984,0,0.0,0,0,0,0,0.0,1616.0,81451691
20250410,290120,DH오토리드,KOSDAQ,우량기업부,2290,50,2.23,2255,2290,2255,5205,0.1,355.0,15515138
20250410,025440,DH오토웨어,KOSDAQ,중견기업부,677,17,2.58,680,687,665,122165,0.8,330.0,48781224
20250410,001530,DI동일,KOSPI,,41350,1000,2.48,41500,42500,39850,45027,18.4,8010.0,19370819
20250410,000210,DL,KOSPI,,30050,1900,6.75,29250,30100,29050,82741,24.6,6297.0,20955884
20250410,000215,DL우,KOSPI,,18990,400,2.15,19300,19340,18530,512,0.1,320.0,1686115
20250410,375500,DL이앤씨,KOSPI,,39500,1500,3.95,39400,39750,38800,179844,70.9,15284.0,38693623
20250410,37550L,DL이앤씨2우(전환),KOSPI,,24800,1250,5.31,24100,25200,24100,3079,0.8,524.0,2111951
20250410,37550K,DL이앤씨우,KOSPI,,16050,420,2.69,16400,16400,15650,6374,1.0,339.0,2113885
20250410,068790,DMS,KOSDAQ,관리종목(소속부없음),6330,0,0.0,0,0,0,0,0.0,1518.0,23987123
20250410,007340,DN오토모티브,KOSPI,,19850,1200,6.43,19700,19860,19030,67861,13.3,11614.0,58510865
20250410,004840,DRB동일,KOSPI,,4130,0,0.0,4195,4195,4090,16882,0.7,823.0,19930000
20250410,241520,DSC인베스트먼트,KOSDAQ,중견기업부,6380,100,1.59,6220,6730,6050,10487658,679.8,1754.0,27496125
20250410,155660,DSR,KOSPI,,4145,75,1.84,4105,4245,4075,77234,3.2,663.0,16000000
20250410,069730,DSR제강,KOSPI,,3850,220,6.06,3785,3890,3695,47788,1.8,554.0,14400000
20250410,017860,DS단석,KOSPI,,21800,1300,6.34,21700,22800,21150,355789,78.0,3833.0,17584212
20250410,180400,DXVX,KOSDAQ,관리종목(소속부없음),1860,55,3.05,1805,1868,1805,252419,4.6,915.0,49219432
20250410,017940,E1,KOSPI,,57200,2200,4.0,57000,57600,56100,12900,7.3,3924.0,6860000
20250410,245620,EDGC,KOSDAQ,관리종목(소속부없음),415,0,0.0,0,0,0,0,0.0,575.0,138493951
20250410,037370,EG,KOSDAQ,중견기업부,6300,100,1.61,6300,6310,6210,36350,2.3,543.0,8624972
20250410,278990,EMB,KONEX,일반기업부,3800,-90,-2.31,3600,3850,3500,568,0.0,184.0,4836831
20250410,365550,ESR켄달스퀘어리츠,KOSPI,,4615,185,4.18,4505,4650,4505,189603,8.7,9834.0,213089000
20250410,050120,ES큐브,KOSDAQ,중견기업부,2530,45,1.81,2520,2560,2455,2074,0.1,343.0,13564086
20250410,383220,F&F,KOSPI,,59500,2300,4.02,58500,59700,57300,60719,35.8,22793.0,38307075
20250410,007700,F&F홀딩스,KOSPI,,11610,420,3.75,11500,11620,11310,5102,0.6,4541.0,39114367
20250410,214270,FSN,KOSDAQ,중견기업부,1239,5,0.41,1283,1283,1218,127045,1.6,412.0,33250463
20250410,130500,GH신소재,KOSDAQ,우량기업부,2455,110,4.69,2495,2495,2410,43978,1.1,357.0,14545052
20250410,114090,GKL,KOSPI,,11400,170,1.51,11410,11510,11250,166500,19.0,7052.0,61855670
20250410,900290,GRT,KOSDAQ,외국기업(소속부없음),2705,165,6.5,2660,2710,2580,285648,7.6,2187.0,80850000
