기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가
20250219,375500,DL이앤씨,KOSPI,,39550,750,1.93,38900,39600,38700,261094,102.7,15303.0,38693623,15303.0,True
20250219,071970,HD현대마린엔진,KOSPI,,30050,550,1.86,29900,30950,29250,1013029,304.6,10193.0,33921495,10193.0,True
20250219,035000,HS애드,KOSPI,,7130,20,0.28,7100,7160,7030,29901,2.1,1181.0,16567409,1181.0,True
20250219,003560,IHQ,KOSPI,,10760,0,0.0,0,0,0,0,0.0,647.0,6010174,647.0,True
20250219,226360,KH 건설,KOSDAQ,투자주의환기종목(소속부없음),2555,0,0.0,0,0,0,0,0.0,607.0,23756732,607.0,True
20250219,033180,KH 필룩스,KOSPI,,6630,0,0.0,0,0,0,0,0.0,1283.0,19345405,1283.0,True
20250219,079550,LIG넥스원,KOSPI,,306000,0,0.0,307000,313000,301500,503059,1540.0,67320.0,22000000,67320.0,True
20250219,010120,LS ELECTRIC,KOSPI,,286500,2500,0.88,290500,303500,280500,1654651,4819.0,85950.0,30000000,85950.0,True
20250219,005940,NH투자증권,KOSPI,,15160,100,0.66,15020,15200,14990,470630,71.3,49648.0,327492299,49648.0,True
20250219,018670,SK가스,KOSPI,,238000,10000,4.39,232000,241500,231000,17621,41.8,21968.0,9230244,21968.0,True
20250219,096770,SK이노베이션,KOSPI,,130000,1200,0.93,129300,130200,127800,248643,321.9,196345.0,151034776,196345.0,True
20250219,036530,SNT홀딩스,KOSPI,,30250,400,1.34,29850,30800,28800,34736,10.5,4932.0,16303886,4932.0,True
20250219,030610,교보증권,KOSPI,,6270,30,0.48,6280,6350,6260,84986,5.3,7145.0,113962961,7145.0,True
20250219,003920,남양유업,KOSPI,,77000,4700,6.5,75600,78500,74300,84287,64.3,4956.0,6436810,4956.0,True
20250219,106520,노블엠앤비,KOSDAQ,투자주의환기종목(소속부없음),411,0,0.0,0,0,0,0,0.0,159.0,38695952,159.0,True
20250219,008060,대덕,KOSPI,,7150,10,0.14,7110,7170,7110,73313,5.2,2423.0,33890150,2423.0,True
20250219,000300,대유플러스,KOSPI,,1984,0,0.0,0,0,0,0,0.0,1616.0,81451691,1616.0,True
20250219,240550,동방메디컬,KOSDAQ,벤처기업부,11300,490,4.53,12230,12730,11220,10468692,1260.7,2326.0,20586940,2326.0,True
20250219,176750,듀켐바이오,KOSDAQ,기술성장기업부,12100,650,5.68,11450,12500,11400,583637,70.9,3443.0,28455220,3443.0,True
20250219,377190,디앤디플랫폼리츠,KOSPI,,3130,15,0.48,3115,3160,3115,99891,3.1,2767.0,88400000,2767.0,True
20250219,376300,디어유,KOSDAQ,기술성장기업부,43750,2000,4.79,41350,44000,41000,361104,153.2,10386.0,23738406,10386.0,True
20250219,113810,디젠스,KOSDAQ,중견기업부,2520,150,6.33,2395,2600,2350,3954777,98.9,822.0,32628051,822.0,True
20250219,232680,라온테크,KOSDAQ,기술성장기업부,10710,400,3.88,10700,11760,10080,3887104,430.9,1342.0,12534234,1342.0,True
20250219,347700,라이프시맨틱스,KOSDAQ,기술성장기업부,8080,180,2.28,7840,8420,7540,542899,43.7,1781.0,22040013,1781.0,True
20250219,005030,부산주공,KOSPI,,486,0,0.0,0,0,0,0,0.0,383.0,78782988,383.0,True
20250219,121800,비덴트,KOSDAQ,투자주의환기종목(소속부없음),3320,0,0.0,0,0,0,0,0.0,2563.0,77201611,2563.0,True
20250219,010140,삼성중공업,KOSPI,,14730,1800,13.92,12950,15220,12870,70378157,10155.8,129624.0,880000000,129624.0,True
20250219,003230,삼양식품,KOSPI,,886000,12000,1.37,885000,900000,872000,48721,431.5,66743.0,7533015,66743.0,True
20250219,043710,서울리거,KOSDAQ,중견기업부,634,1,0.16,627,637,623,11326,0.1,549.0,86562510,549.0,True
20250219,007610,선도전기,KOSPI,,3000,0,0.0,0,0,0,0,0.0,540.0,18000000,540.0,True
20250219,091090,세원이앤씨,KOSPI,,1270,0,0.0,0,0,0,0,0.0,670.0,52754723,670.0,True
20250219,293940,신한알파리츠,KOSPI,,5890,70,1.2,5790,5900,5790,251128,14.7,7123.0,120940123,7123.0,True
20250219,102280,쌍방울,KOSPI,,13450,0,0.0,0,0,0,0,0.0,706.0,5251842,706.0,True
20250219,177900,쓰리에이로직스,KOSDAQ,기술성장기업부,9350,30,0.32,9400,9760,9090,4521274,424.9,868.0,9286800,868.0,True
20250219,020560,아시아나항공,KOSPI,,10820,230,2.17,10590,10860,10530,360681,38.5,22288.0,205990711,22288.0,True
20250219,214430,아이쓰리시스템,KOSDAQ,우량기업부,63200,1100,1.77,62400,63700,59000,161701,99.7,4491.0,7106760,4491.0,True
