기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가,신고가_비율
20250224,082270,젬백스,KOSDAQ,벤처기업부,34750,2250,6.92,34050,34950,33200,977689,333.3,13898.0,39994174,13898.0,True,100.0
20250224,071050,한국금융지주,KOSPI,,82500,900,1.1,81600,82700,81100,97521,80.2,45974.0,55725992,45974.0,True,100.0
20250224,096770,SK이노베이션,KOSPI,,133900,1500,1.13,132700,134000,131600,247440,329.2,202236.0,151034776,202236.0,True,100.0
20250224,007340,DN오토모티브,KOSPI,,22050,400,1.85,21650,22100,21350,140179,30.6,12902.0,58510865,12902.0,True,100.0
20250224,005440,현대지에프홀딩스,KOSPI,,5770,290,5.29,5550,5780,5500,837994,47.4,8996.0,155904301,8996.0,True,100.0
20250224,069960,현대백화점,KOSPI,,57600,0,0.0,57000,58100,56700,83265,48.0,13034.0,22628813,13034.0,True,100.0
20250224,020560,아시아나항공,KOSPI,,11020,220,2.04,10700,11020,10690,246362,26.8,22700.0,205990711,22700.0,True,100.0
20250224,011200,HMM,KOSPI,,20000,1330,7.12,19620,21650,19420,28312869,5868.2,176208.0,881039496,176208.0,True,100.0
20250224,012450,한화에어로스페이스,KOSPI,,666000,6000,0.91,658000,674000,652000,386667,2562.2,303571.0,45581161,303571.0,True,100.0
20250224,018670,SK가스,KOSPI,,248000,0,0.0,246500,251000,243000,10703,26.4,22891.0,9230244,22891.0,True,100.0
20250224,100840,SNT에너지,KOSPI,,31250,1550,5.22,29150,31300,27550,734974,217.9,6463.0,20680783,6463.0,True,100.0
20250224,017960,한국카본,KOSPI,,16060,670,4.35,15180,16410,15070,1918475,305.7,8336.0,51908452,8336.0,True,100.0
20250224,316140,우리금융지주,KOSPI,,17420,200,1.16,17250,17420,17130,1866145,322.7,129359.0,742591501,129359.0,True,100.0
20250224,012630,HDC,KOSPI,,13440,-10,-0.07,13480,13490,13290,100904,13.5,8029.0,59741721,8035.0,False,99.9
20250224,030610,교보증권,KOSPI,,6550,-10,-0.15,6580,6590,6470,151176,9.9,7465.0,113962961,7476.0,False,99.9
