,1,2,4,1,3,0,2,1,1,1,0,3,0,7,2,2,6,4,1,0,3,10,5,8,4,1,7,4,5,17,9,7,14,10,11,12,17,10
No,20250102,20250103,20250106,20250107,20250108,20250109,20250110,20250113,20250114,20250115,20250116,20250117,20250120,20250121,20250122,20250123,20250124,20250131,20250203,20250204,20250205,20250206,20250207,20250210,20250211,20250212,20250213,20250214,20250217,20250218,20250219,20250220,20250221,20250224,20250225,20250226,20250227,20250228
1,오리엔트정공,엘앤씨바이오,디앤디파마텍,보령,HJ중공업,,신세계 I&C,지누스,위메이드맥스,산일전기,,LS에코에너지,,HD한국조선해양,비츠로셀,SNT모티브,HD현대일렉트릭,현대글로비스,GRT,,에스피지,NAVER,크래프톤,씨메스,현대무벡스,아이에스티이,HD현대중공업,에이치브이엠,삼성바이오로직스,두산에너빌리티,한화오션,LS ELECTRIC,메리츠금융지주,메리츠금융지주,한화에어로스페이스,삼성카드,하이브,영원무역
2,,퓨런티어,엑스게이트,,신세계 I&C,,제닉,,,,,경동나비엔,,HD현대미포,하이록코리아,대영포장,일진전기,BNK금융지주,,,쏠리드,HD현대,SK바이오팜,클로봇,삼양엔씨켐,,한화비전,로체시스템즈,화승엔터프라이즈,레인보우로보틱스,코웨이,오리온,현대로템,SK이노베이션,HMM,카페24,NH투자증권,스튜디오드래곤
3,,,드림시큐리티,,오리엔트바이오,,,,,,,보광산업,,파크시스템스,,,티웨이항공,로보티즈,,,인화정공,LG씨엔에스,케어젠,한국기업평가,토모큐브,,HD현대인프라코어,대아티아이,코오롱생명과학,한화시스템,한화엔진,디어유,LIG넥스원,우리금융지주,삼성중공업,DL이앤씨,클래시스,젬백스
4,,,아톤,,,,,,,,,,,성광벤드,,,비에이치아이,액션스퀘어,,,,효성중공업,티앤엘,솔트룩스,파이버프로,,HD현대건설기계,현대에버다임,엠아이텍,현대건설,필옵틱스,가온전선,삼양식품,한국금융지주,한국카본,세아제강지주,휴젤,와이지엔터테인먼트
5,,,,,,,,,,,,,,현대힘스,,,제일일렉트릭,,,,,더존비즈온,솔트룩스,에치에프알,,,전진건설로봇,,에이럭스,한화,HD현대마린엔진,오름테라퓨틱,두산,SK가스,동성화인텍,NICE평가정보,파마리서치,올릭스
6,,,,,,,,,,,,,,오리엔탈정공,,,안트로젠,,,,,하이젠알앤엠,,에스오에스랩,,,브릿지바이오테라퓨틱스,,,코오롱티슈진,남양유업,LF,SK가스,아시아나항공,SNT에너지,지아이이노베이션,JYP Ent.,태광
7,,,,,,,,,,,,,,케이프,,,,,,,,엠로,,한국무브넥스,,,켄코아에어로스페이스,,,에이비엘바이오,피아이이,듀켐바이오,이마트,DN오토모티브,아이쓰리시스템,풀무원,에스엠,세아제강
8,,,,,,,,,,,,,,,,,,,,,,한국단자,,와이즈넛,,,,,,DGB금융지주,휴림로봇,,SNT다이내믹스,현대지에프홀딩스,HL홀딩스,SNT홀딩스,신영증권,우주일렉트로
9,,,,,,,,,,,,,,,,,,,,,,모토닉,,,,,,,,고영,지엔씨에너지,,유일로보틱스,엣지파운드리,엘케이켐,원익홀딩스,현대백화점,바이오솔루션
10,,,,,,,,,,,,,,,,,,,,,,와이팜,,,,,,,,STX엔진,,,엠앤씨솔루션,위너스,SAMG엔터,교촌에프앤비,HDC,넥써쓰
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,파미셀,,,동방메디컬,,큐리언트,SAMG엔터,교보증권,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,쎄트렉아이,,,모티브링크,,,대동기어,아스테라시스,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RFHIC,,,대덕,,,,원익홀딩스,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,넥스트바이오메디컬,,,레드캡투어,,,,넵튠,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스마트레이더시스템,,,,,,,현대코퍼레이션,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동국생명과학,,,,,,,화승인더,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,앱트뉴로사이언스,,,,,,,펨트론,
