,1,2,4,1,2,2,1,1,1,3,0,7,2,2,6,4,1,0,3,10,5,8,4,1,7,4,5,16,8,7,14,9,10,11,14,6,16
No,20250102,20250103,20250106,20250107,20250108,20250110,20250113,20250114,20250115,20250117,20250120,20250121,20250122,20250123,20250124,20250131,20250203,20250204,20250205,20250206,20250207,20250210,20250211,20250212,20250213,20250214,20250217,20250218,20250219,20250220,20250221,20250224,20250225,20250226,20250227,20250228,20250304
1,오리엔트정공,엘앤씨바이오,디앤디파마텍,보령,신세계 I&C,신세계 I&C,지누스,위메이드맥스,산일전기,LS에코에너지,,HD한국조선해양,비츠로셀,SNT모티브,HD현대일렉트릭,현대글로비스,GRT,,에스피지,NAVER,크래프톤,씨메스,현대무벡스,아이에스티이,HD현대중공업,에이치브이엠,삼성바이오로직스,두산에너빌리티,코웨이,LS ELECTRIC,메리츠금융지주,메리츠금융지주,HMM,삼성카드,하이브,영원무역,한화에어로스페이스
2,,퓨런티어,엑스게이트,,오리엔트바이오,제닉,,,,경동나비엔,,HD현대미포,하이록코리아,대영포장,일진전기,BNK금융지주,,,쏠리드,HD현대,SK바이오팜,클로봇,삼양엔씨켐,,한화비전,로체시스템즈,화승엔터프라이즈,레인보우로보틱스,한화엔진,오리온,현대로템,SK이노베이션,삼성중공업,카페24,NH투자증권,스튜디오드래곤,한화오션
3,,,드림시큐리티,,,,,,,보광산업,,파크시스템스,,,티웨이항공,로보티즈,,,인화정공,LG씨엔에스,케어젠,한국기업평가,토모큐브,,HD현대인프라코어,대아티아이,코오롱생명과학,한화시스템,필옵틱스,디어유,LIG넥스원,우리금융지주,한국카본,DL이앤씨,클래시스,올릭스,파마리서치
4,,,아톤,,,,,,,,,성광벤드,,,비에이치아이,액션스퀘어,,,,효성중공업,티앤엘,솔트룩스,파이버프로,,HD현대건설기계,현대에버다임,엠아이텍,현대건설,HD현대마린엔진,가온전선,삼양식품,한국금융지주,동성화인텍,NICE평가정보,휴젤,우주일렉트로,코오롱티슈진
5,,,,,,,,,,,,현대힘스,,,제일일렉트릭,,,,,더존비즈온,솔트룩스,에치에프알,,,전진건설로봇,,에이럭스,한화,남양유업,오름테라퓨틱,두산,SK가스,SNT에너지,지아이이노베이션,JYP Ent.,바이오솔루션,보로노이
6,,,,,,,,,,,,오리엔탈정공,,,안트로젠,,,,,하이젠알앤엠,,에스오에스랩,,,브릿지바이오테라퓨틱스,,,에이비엘바이오,피아이이,LF,SK가스,아시아나항공,아이쓰리시스템,풀무원,에스엠,넥써쓰,젬백스
7,,,,,,,,,,,,케이프,,,,,,,,엠로,,한국무브넥스,,,켄코아에어로스페이스,,,DGB금융지주,휴림로봇,듀켐바이오,이마트,DN오토모티브,HL홀딩스,SNT홀딩스,신영증권,,와이지엔터테인먼트
8,,,,,,,,,,,,,,,,,,,,한국단자,,와이즈넛,,,,,,고영,지엔씨에너지,,SNT다이내믹스,현대지에프홀딩스,엘케이켐,원익홀딩스,현대백화점,,세아제강지주
9,,,,,,,,,,,,,,,,,,,,모토닉,,,,,,,,STX엔진,,,유일로보틱스,위너스,SAMG엔터,교촌에프앤비,HDC,,태광
10,,,,,,,,,,,,,,,,,,,,와이팜,,,,,,,,파미셀,,,엠앤씨솔루션,,큐리언트,SAMG엔터,교보증권,,HJ중공업
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,쎄트렉아이,,,동방메디컬,,,대동기어,원익홀딩스,,세아제강
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,RFHIC,,,모티브링크,,,,넵튠,,아스테라시스
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,넥스트바이오메디컬,,,대덕,,,,현대코퍼레이션,,넥스틸
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,스마트레이더시스템,,,레드캡투어,,,,펨트론,,엣지파운드리
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,동국생명과학,,,,,,,,,휴스틸
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,앱트뉴로사이언스,,,,,,,,,화승인더
