기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,거래비율
20250321,31860,디에이치엑스컴퍼니,KOSDAQ,투자주의환기종목(소속부없음),1111,256,29.94,890,1111,890,834424,8.9,191,17172021,0.046596859
20250321,73190,듀오백,KOSDAQ,중견기업부,3300,760,29.92,2540,3300,2530,1706706,52.9,395,11968040,0.133924051
20250321,238090,앤디포스,KOSDAQ,벤처기업부,2290,526,29.82,1764,2290,1755,908603,19.7,539,23541303,0.036549165
20250321,44180,KD,KOSDAQ,중견기업부,601,138,29.81,601,601,601,1276464,7.7,161,26717799,0.047826087
20250321,298060,에스씨엠생명과학,KOSDAQ,기술성장기업부,1335,224,20.16,1100,1410,1099,2755867,35.9,273,20467248,0.131501832
20250321,313760,캐리,KOSDAQ,중견기업부,4635,755,19.46,4825,5040,4340,2150232,105.4,472,10182927,0.223305085
20250321,356860,티엘비,KOSDAQ,우량기업부,23000,3730,19.36,19300,24800,19300,6784258,1568.8,2262,9832630,0.693545535
20250321,53290,NE능률,KOSDAQ,투자주의환기종목(소속부없음),4485,660,17.25,4185,4740,4090,4487852,197.6,741,16526307,0.266666667
20250321,115180,큐리언트,KOSDAQ,벤처기업부,8700,1200,16,7400,8800,7390,680422,56,2810,32296790,0.019928826
20250321,12170,아센디오,KOSPI,,3210,435,15.68,2655,3605,2650,4001704,129.4,332,10356948,0.389759036
20250321,98070,한텍,KOSDAQ,중견기업부,30450,4050,15.34,25350,33200,24900,18135276,5524.1,3386,11121141,1.631453042
20250321,177350,베셀,KOSDAQ,중견기업부,1160,154,15.31,1108,1307,1050,9233818,113,207,17874408,0.54589372
20250321,321550,티움바이오,KOSDAQ,기술성장기업부,3445,455,15.22,2905,3500,2905,416434,13.8,920,26712231,0.015
20250321,80220,제주반도체,KOSDAQ,우량기업부,15960,540,3.5,15820,16630,15800,6309473,1025.7,5497,34442833,0.186592687
20250321,246710,티앤알바이오팹,KOSDAQ,기술성장기업부,4800,600,14.29,4135,4900,3980,580275,26.3,1034,21546828,0.025435203
20250321,1250,GS글로벌,KOSPI,,2935,350,13.54,2620,3175,2555,33722897,999.7,2422,82533764,0.412758051
20250321,311390,네오크레마,KOSDAQ,벤처기업부,7410,850,12.96,6560,7410,6550,154164,10.9,938,12653789,0.011620469
20250321,82270,젬백스,KOSDAQ,벤처기업부,40000,5000,14.29,34650,40000,33950,967780,363.4,15998,39994174,0.022715339
20250321,32680,소프트센,KOSDAQ,중견기업부,332,37,12.54,297,369,297,33458710,115.9,351,105590764,0.33019943
20250321,32790,엠젠솔루션,KOSDAQ,벤처기업부,1231,137,12.52,1094,1422,1080,8801792,117.7,534,43388223,0.220411985
20250321,66430,와이오엠,KOSDAQ,투자주의환기종목(소속부없음),884,97,12.33,789,890,770,3178604,26.2,346,39153476,0.075722543
20250321,199550,레이저옵텍,KOSDAQ,벤처기업부,10350,1130,12.26,9290,11190,9280,15321252,1619.5,1247,12044791,1.298716921
20250321,417840,저스템,KOSDAQ,벤처기업부,9400,990,11.77,8410,9460,8310,286628,26.2,681,7249175,0.038472834
20250321,38540,상상인,KOSDAQ,우량기업부,1682,177,11.76,1505,1714,1495,656649,10.8,931,55328313,0.01160043
20250321,222420,쎄노텍,KOSDAQ,중견기업부,943,98,11.6,854,950,846,1222316,11.3,429,45460231,0.026340326
20250321,177900,쓰리에이로직스,KOSDAQ,기술성장기업부,10030,1010,11.2,9150,10420,9000,12928069,1282.9,939,9366800,1.366240682
20250321,219550,디와이디,KOSDAQ,투자주의환기종목(소속부없음),728,73,11.15,657,780,650,7013538,51.4,909,124829164,0.056545655
20250321,322780,코퍼스코리아,KOSDAQ,중견기업부,906,83,10.09,813,1069,802,2407459,24,344,37932613,0.069767442
20250321,272110,케이엔제이,KOSDAQ,우량기업부,18050,1650,10.06,16540,18340,16540,404535,72,1449,8025395,0.049689441
20250321,47920,HLB제약,KOSDAQ,기술성장기업부,17100,-7300,-29.92,17100,18880,17100,5275977,930.3,5440,31814994,0.171011029
20250321,439090,마녀공장,KOSDAQ,중견기업부,19060,230,1.22,19370,20750,19060,1685259,335.7,3122,16378260,0.107527226
20250321,192410,오늘이엔엠,KOSDAQ,중견기업부,765,67,9.6,691,775,575,742802,5.2,109,14235530,0.047706422
20250321,71090,하이스틸,KOSPI,,4600,395,9.39,4210,4720,4040,13156200,594,929,20191471,0.639397201
20250321,318160,셀바이오휴먼텍,KOSDAQ,벤처기업부,4625,355,8.31,4245,4650,4245,132182,5.9,428,9260901,0.013785047
20250321,284620,카이노스메드,KOSDAQ,기술성장기업부,1387,106,8.27,1270,1450,1229,797752,10.9,391,28180793,0.027877238
20250321,466100,클로봇,KOSDAQ,기술성장기업부,19530,-10,-0.05,19220,19900,18820,2550256,493.3,4814,24651339,0.102471957
20250321,30530,원익홀딩스,KOSDAQ,우량기업부,4825,210,4.55,4680,4980,4680,7121639,346.3,3727,77237981,0.092916555
20250321,172670,에이엘티,KOSDAQ,벤처기업부,11540,870,8.15,10670,11920,10520,728816,83.9,1034,8960259,0.081141199
20250321,203400,에이비온,KOSDAQ,기술성장기업부,6440,480,8.05,5970,6590,5730,194900,12.3,1844,28637415,0.006670282
20250321,473980,노머스,KOSDAQ,기술성장기업부,20650,1470,7.66,19350,20800,17910,106632,21.4,2244,10867617,0.009536542
20250321,92790,넥스틸,KOSPI,,16150,-580,-3.47,16980,17060,15800,2406063,387.7,4199,26002000,0.092331508
20250321,389470,인벤티지랩,KOSDAQ,기술성장기업부,14570,1030,7.61,13580,14870,13200,190303,27.5,1464,10045075,0.018784153
20250321,256940,케이피에스,KOSDAQ,벤처기업부,9470,670,7.61,8680,9550,8600,257802,24,1775,18748658,0.013521127
20250321,4830,덕성,KOSPI,,7750,540,7.49,7500,8000,7210,2166412,165.6,1215,15680000,0.136296296
20250321,210120,캔버스엔,KOSDAQ,중견기업부,3025,205,7.27,2835,3045,2760,359525,10.7,713,23582605,0.015007013
20250321,30210,다올투자증권,KOSPI,,3075,205,7.14,2850,3090,2850,290611,8.7,1873,60911106,0.004644955
20250321,25320,시노펙스,KOSDAQ,우량기업부,7970,140,1.79,7790,8230,7790,7657394,612.7,7013,87991570,0.08736632
20250321,317690,퀀타매트릭스,KOSDAQ,기술성장기업부,4480,285,6.79,4155,4640,4155,452779,20.2,810,18082643,0.024938272
20250321,88800,에이스테크,KOSDAQ,투자주의환기종목(소속부없음),679,43,6.76,667,699,629,526651,3.6,1538,226519303,0.002340702
20250321,97870,효성오앤비,KOSDAQ,중견기업부,6950,440,6.76,6480,6960,6460,489799,33.4,590,8490000,0.056610169
20250321,28300,HLB,KOSDAQ,중견기업부,46500,-19900,-29.97,46500,49650,46500,10888340,5112.4,61095,131387433,0.083679516
20250321,51500,CJ프레시웨이,KOSDAQ,우량기업부,24050,1500,6.65,22550,24050,22150,255887,59.8,2855,11871586,0.020945709
20250321,452450,피아이이,KOSDAQ,벤처기업부,10000,-1000,-9.09,10640,10730,10000,2848311,295.1,3583,35826000,0.08236115
20250321,67770,세진티에스,KOSDAQ,중견기업부,2345,140,6.35,2210,2685,2210,296062,7.1,197,8396593,0.036040609
20250321,222800,심텍,KOSDAQ GLOBAL,우량기업부,22850,700,3.16,22550,24200,22500,2408430,562.7,7279,31854143,0.077304575
20250321,189860,서전기전,KOSDAQ,투자주의환기종목(소속부없음),3930,230,6.22,3680,3945,3680,127041,4.8,381,9698780,0.012598425
20250321,83500,에프엔에스테크,KOSDAQ,벤처기업부,10610,620,6.21,9900,10740,9900,82990,8.6,910,8575722,0.009450549
20250321,140410,메지온,KOSDAQ,중견기업부,29200,3300,12.74,25900,29300,25800,249016,70,8749,29963337,0.008000914
20250321,20710,시공테크,KOSDAQ,우량기업부,4120,235,6.05,3985,4150,3920,430202,17.5,826,20047970,0.021186441
20250321,69540,빛과전자,KOSDAQ,벤처기업부,975,55,5.98,920,997,914,1585081,15.3,449,46037579,0.034075724
20250321,83650,비에이치아이,KOSDAQ,중견기업부,20150,820,4.24,19310,20750,18710,2342601,465.7,6235,30944375,0.074691259
