기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20250324,060310,3S,KOSDAQ,중견기업부,1840,10,0.55,1822,1860,1802,155895,2.9,976.0,53059040
20250324,095570,AJ네트웍스,KOSPI,,3805,-25,-0.65,3830,3840,3785,61229,2.3,1722.0,45252759
20250324,006840,AK홀딩스,KOSPI,,10340,-10,-0.1,10350,10390,10300,2006,0.2,1370.0,13247561
20250324,054620,APS,KOSDAQ,중견기업부,6140,40,0.66,6080,6230,6000,24374,1.5,1222.0,19894221
20250324,265520,AP시스템,KOSDAQ,우량기업부,18440,-120,-0.65,18440,18710,18300,88289,16.3,2818.0,15281421
20250324,211270,AP위성,KOSDAQ,벤처기업부,12380,130,1.06,12520,12540,12320,46840,5.8,1867.0,15082304
20250324,109960,AP헬스케어,KOSDAQ,투자주의환기종목(소속부없음),501,27,5.7,480,509,478,784402,3.9,1006.0,200789269
20250324,027410,BGF,KOSPI,,3460,0,0.0,3460,3470,3435,15939,0.6,3312.0,95716791
20250324,282330,BGF리테일,KOSPI,,110900,-1900,-1.68,112800,113500,110900,14052,15.7,19168.0,17283906
20250324,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,2730,-15,-0.55,2730,2765,2710,42512,1.2,1714.0,62766899
20250324,138930,BNK금융지주,KOSPI,,10930,100,0.92,10750,11000,10750,603100,65.5,34799.0,318383519
20250324,001460,BYC,KOSPI,,26650,-250,-0.93,26500,27200,26500,354,0.1,1665.0,6246150
20250324,013720,CBI,KOSDAQ,중견기업부,712,-15,-2.06,727,755,709,167335,1.2,364.0,51128143
20250324,083790,CG인바이츠,KOSDAQ,벤처기업부,2280,50,2.24,2265,2380,2210,176958,4.1,1753.0,76894182
20250324,001040,CJ,KOSPI,,125800,-2300,-1.8,126900,128100,123500,139419,175.3,36705.0,29176998
20250324,079160,CJ CGV,KOSPI,,4820,0,0.0,4805,4880,4805,127897,6.2,7981.0,165580264
