기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수
20250411,060310,3S,KOSDAQ,중견기업부,2165,-10,-0.46,2145,2185,2085,855562,18.3,1149.0,53059040,1594.0,72.1
20250411,095570,AJ네트웍스,KOSPI,,3780,50,1.34,3755,3790,3705,42878,1.6,1711.0,45252759,2308.0,74.1
20250411,006840,AK홀딩스,KOSPI,,10180,-20,-0.2,10080,10470,10080,625,0.1,1349.0,13247561,2053.0,65.7
20250411,054620,APS,KOSDAQ,중견기업부,6030,-20,-0.33,5970,6120,5940,29376,1.8,1200.0,19894221,1639.0,73.2
20250411,265520,AP시스템,KOSDAQ,우량기업부,16190,100,0.62,15800,16350,15670,54176,8.7,2474.0,15281421,5387.0,45.9
20250411,211270,AP위성,KOSDAQ,벤처기업부,11170,290,2.67,10710,11170,10710,42907,4.7,1685.0,15082304,3062.0,55.0
20250411,109960,AP헬스케어,KOSDAQ,투자주의환기종목(소속부없음),386,0,0.0,377,395,377,259255,1.0,775.0,200789269,1285.0,60.3
20250411,027410,BGF,KOSPI,,3410,35,1.04,3380,3415,3350,43116,1.5,3264.0,95716791,3613.0,90.3
20250411,282330,BGF리테일,KOSPI,,103300,-4100,-3.82,106400,107400,103300,44064,46.0,17854.0,17283906,23541.0,75.8
20250411,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,2565,35,1.38,2530,2570,2465,31256,0.8,1610.0,62766899,2608.0,61.7
20250411,138930,BNK금융지주,KOSPI,,9660,-50,-0.51,9550,9680,9530,1225604,117.8,30756.0,318383519,38965.0,78.9
20250411,001460,BYC,KOSPI,,27250,100,0.37,26900,27400,26900,798,0.2,1702.0,6246150,3057.0,55.7
20250411,013720,CBI,KOSDAQ,중견기업부,705,33,4.91,681,705,666,96915,0.7,360.0,51128143,765.0,47.1
20250411,083790,CG인바이츠,KOSDAQ,벤처기업부,2050,0,0.0,2045,2065,2010,67186,1.4,1576.0,76894182,2495.0,63.2
20250411,001040,CJ,KOSPI,,116000,-5100,-4.21,119500,120900,114900,207608,242.1,33845.0,29176998,44553.0,76.0
20250411,079160,CJ CGV,KOSPI,,4455,0,0.0,4390,4470,4375,73964,3.3,7377.0,165580264,11922.0,61.9
20250411,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,57600,900,1.59,55800,58000,55400,37981,21.5,12631.0,21929154,19977.0,63.2
20250411,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,9800,360,3.81,9270,9880,9250,13911,1.3,1280.0,13065462,1531.0,83.6
20250411,00104K,CJ4우(전환),KOSPI,,90000,-3000,-3.23,93300,93600,89950,14030,12.8,3804.0,4226512,4412.0,86.2
20250411,000120,CJ대한통운,KOSPI,,82700,500,0.61,81400,84000,81400,73356,60.7,18866.0,22812344,29633.0,63.7
20250411,011150,CJ씨푸드,KOSPI,,3200,5,0.16,3180,3220,3125,649631,20.6,1150.0,35930773,2271.0,50.6
20250411,097950,CJ제일제당,KOSPI,,231500,-8500,-3.54,235000,235000,226500,133826,307.2,34850.0,15054186,59916.0,58.2
20250411,051500,CJ프레시웨이,KOSDAQ,우량기업부,22400,-250,-1.1,22450,22850,22250,18822,4.2,2659.0,11871586,2855.0,93.1
20250411,058820,CMG제약,KOSDAQ,우량기업부,2070,40,1.97,2010,2090,1989,736810,15.0,2875.0,138892244,3368.0,85.4
20250411,056730,CNT85,KOSDAQ,중견기업부,668,-4,-0.6,671,672,666,6808,0.0,495.0,74111186,913.0,54.2
20250411,000480,CR홀딩스,KOSPI,,4975,100,2.05,4870,4975,4830,7034,0.3,2333.0,46890490,2949.0,79.1
20250411,065770,CS,KOSDAQ,벤처기업부,1967,-198,-9.15,2210,2220,1950,1300735,26.1,382.0,19411130,507.0,75.3
20250411,083660,CSA 코스믹,KOSDAQ,중견기업부,810,100,14.08,710,820,710,1456047,11.2,496.0,61247181,827.0,60.0
20250411,000590,CS홀딩스,KOSPI,,70900,200,0.28,70200,70900,70200,1091,0.8,819.0,1154482,870.0,94.1
20250411,012030,DB,KOSPI,,1225,31,2.6,1189,1225,1170,125948,1.5,2464.0,201173933,3291.0,74.9
20250411,016610,DB금융투자,KOSPI,,5480,30,0.55,5360,5510,5360,45504,2.5,2326.0,42446389,2589.0,89.8
20250411,005830,DB손해보험,KOSPI,,83500,200,0.24,82400,83600,81500,123796,102.5,59118.0,70800000,87226.0,67.8
20250411,000990,DB하이텍,KOSPI,,41600,1950,4.92,38900,41750,38600,288987,117.3,18470.0,44398588,25352.0,72.9
20250411,139130,DGB금융지주,KOSPI,,8800,-90,-1.01,8710,8890,8710,347399,30.5,14643.0,166392833,16526.0,88.6
20250411,060900,DGP,KOSDAQ,중견기업부,906,-18,-1.95,924,944,890,45077,0.4,229.0,25258229,369.0,62.1
20250411,000300,DH오토넥스,KOSPI,,1984,0,0.0,0,0,0,0,0.0,1616.0,81451691,1616.0,100.0
20250411,290120,DH오토리드,KOSDAQ,우량기업부,2295,5,0.22,2295,2305,2260,2751,0.1,356.0,15515138,486.0,73.3
20250411,025440,DH오토웨어,KOSDAQ,중견기업부,681,4,0.59,677,684,661,41320,0.3,332.0,48781224,763.0,43.5
20250411,001530,DI동일,KOSPI,,42850,1500,3.63,40350,42850,40350,31518,13.2,8300.0,19370819,12507.0,66.4
20250411,000210,DL,KOSPI,,29900,-150,-0.5,29700,29950,29150,41451,12.2,6266.0,20955884,12636.0,49.6
20250411,375500,DL이앤씨,KOSPI,,40050,550,1.39,39700,40150,39250,96293,38.3,15497.0,38693623,17567.0,88.2
20250411,37550L,DL이앤씨2우(전환),KOSPI,,25350,550,2.22,24550,26000,24550,1836,0.5,535.0,2111951,596.0,89.8
20250411,007340,DN오토모티브,KOSPI,,20600,750,3.78,21700,22400,20050,346653,72.1,12053.0,58510865,13136.0,91.8
20250411,004840,DRB동일,KOSPI,,4130,0,0.0,4130,4130,4060,5961,0.2,823.0,19930000,1224.0,67.2
20250411,241520,DSC인베스트먼트,KOSDAQ,중견기업부,6470,90,1.41,6770,6960,6370,7766836,517.3,1779.0,27496125,1779.0,100.0
20250411,155660,DSR,KOSPI,,4095,-50,-1.21,4075,4185,3975,60322,2.4,655.0,16000000,720.0,91.0
20250411,069730,DSR제강,KOSPI,,3765,-85,-2.21,3850,3850,3680,40799,1.5,542.0,14400000,709.0,76.4
20250411,017860,DS단석,KOSPI,,23050,1250,5.73,21250,23600,21250,420042,95.4,4053.0,17584212,9771.0,41.5
20250411,017940,E1,KOSPI,,57900,700,1.22,57400,58000,56100,5127,2.9,3972.0,6860000,5399.0,73.6
20250411,037370,EG,KOSDAQ,중견기업부,6270,-30,-0.48,6250,6290,6190,21302,1.3,541.0,8624972,856.0,63.2
20250411,365550,ESR켄달스퀘어리츠,KOSPI,,4585,-30,-0.65,4500,4610,4495,135113,6.2,9770.0,213089000,11315.0,86.3
20250411,050120,ES큐브,KOSDAQ,중견기업부,2630,100,3.95,2480,2635,2480,35110,0.9,357.0,13564086,364.0,98.1
20250411,383220,F&F,KOSPI,,59400,-100,-0.17,58500,60000,57200,52385,30.8,22754.0,38307075,28347.0,80.3
20250411,007700,F&F홀딩스,KOSPI,,11610,0,0.0,11700,11710,11490,2330,0.3,4541.0,39114367,6591.0,68.9
20250411,214270,FSN,KOSDAQ,중견기업부,1245,6,0.48,1238,1249,1228,45634,0.6,414.0,33250463,781.0,53.0
20250411,130500,GH신소재,KOSDAQ,우량기업부,2520,65,2.65,2475,2520,2420,18677,0.5,367.0,14545052,641.0,57.3
20250411,114090,GKL,KOSPI,,11440,40,0.35,11310,11530,11280,92119,10.6,7076.0,61855670,8821.0,80.2
20250411,900290,GRT,KOSDAQ,외국기업(소속부없음),2750,45,1.66,2685,2765,2605,127404,3.4,2223.0,80850000,4471.0,49.7
20250411,078930,GS,KOSPI,,35800,-100,-0.28,35500,35900,35300,180218,64.1,33264.0,92915378,50081.0,66.4
20250411,083450,GST,KOSDAQ,우량기업부,17040,390,2.34,16260,17060,16210,157742,26.3,3140.0,18430000,4612.0,68.1
20250411,006360,GS건설,KOSPI,,16300,140,0.87,16050,16300,15920,186988,30.2,13950.0,85581490,18443.0,75.6
20250411,001250,GS글로벌,KOSPI,,2570,0,0.0,2535,2585,2535,701658,18.0,2121.0,82533764,3557.0,59.6
20250411,007070,GS리테일,KOSPI,,14170,-40,-0.28,14050,14200,13970,128332,18.1,11847.0,83607415,24242.0,48.9
20250411,499790,GS피앤엘,KOSPI,,17530,260,1.51,17260,17530,17000,20354,3.5,3476.0,19830841,5067.0,68.6
20250411,297890,HB솔루션,KOSDAQ,우량기업부,2310,105,4.76,2165,2310,2150,265223,5.9,1690.0,73140914,7392.0,22.9
20250411,440290,HB인베스트먼트,KOSDAQ,중견기업부,1852,66,3.7,1788,1902,1788,278688,5.2,502.0,27107010,797.0,63.0
20250411,078150,HB테크놀러지,KOSDAQ,우량기업부,1971,146,8.0,1790,1971,1785,1492591,28.4,1827.0,92715916,4219.0,43.3
20250411,012630,HDC,KOSPI,,16340,750,4.81,15450,16350,14810,136589,22.0,9762.0,59741721,9762.0,100.0
20250411,039570,HDC랩스,KOSPI,,8110,-90,-1.1,8170,8170,8100,1553,0.1,2105.0,25957601,2853.0,73.8
