기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,비중
20250411,6920,모헨즈,KOSDAQ,벤처기업부,4450,230,5.45,4335,4950,3980,16027592,733.1,486,10920000,151%
20250411,140430,카티스,KOSDAQ,벤처기업부,3905,360,10.16,4605,4605,3840,23644834,1014.8,746,19102219,136%
20250411,38870,에코바이오,KOSDAQ,중견기업부,4795,590,14.03,4500,5190,4210,15322137,736.7,672,14014949,110%
20250411,163280,에어레인,KOSDAQ,기술성장기업부,22550,150,0.67,24100,24400,21900,7380682,1703.2,1843,8174789,92%
20250411,20710,시공테크,KOSDAQ,우량기업부,7050,1440,25.67,6370,7290,6300,17898195,1215.5,1413,20047970,86%
20250411,460870,에스엠씨지,KOSDAQ,벤처기업부,4685,670,16.69,4240,5150,4140,15474059,726.8,862,18403305,84%
20250411,43910,자연과환경,KOSDAQ,벤처기업부,957,22,2.35,937,1070,937,86472492,874.7,1085,113391457,81%
20250411,27830,대성창투,KOSDAQ,중견기업부,2680,35,1.32,2735,3005,2645,40359474,1140.6,1447,54000000,79%
20250411,289010,아이스크림에듀,KOSDAQ,중견기업부,3410,440,14.81,3505,3800,3300,8623270,309.8,439,12864037,71%
20250411,382150,온코크로스,KOSDAQ,기술성장기업부,11420,2630,29.92,9270,11420,9060,8292651,904,1359,11896437,67%
20250411,246690,TS인베스트먼트,KOSDAQ,중견기업부,1485,95,6.83,1650,1720,1451,25454897,406.7,616,41477862,66%
20250411,98070,한텍,KOSDAQ,중견기업부,42100,-650,-1.52,42100,44700,40300,7094083,3011,4682,11121141,64%
20250411,19570,플루토스,KOSDAQ,중견기업부,366,48,15.09,352,409,350,38744420,150.2,239,65310042,63%
20250411,448900,한국피아이엠,KOSDAQ,기술성장기업부,15480,-820,-5.03,16300,17100,15450,3511180,577.8,929,6004457,62%
20250411,476080,M83,KOSDAQ,중견기업부,14750,2620,21.6,12140,15240,12060,4137828,587.5,1148,7785000,51%
20250411,42940,상지건설,KOSDAQ,중견기업부,19790,4560,29.94,18900,19790,17400,1975956,381.4,788,3981814,48%
20250411,475460,미트박스,KOSDAQ,중견기업부,13280,330,2.55,12930,14310,12930,2604881,358.5,742,5587025,48%
