기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250414,300,DH오토넥스,KOSPI,,1984,0,0,0,0,0,0,0,1616,81451691,1616,100,0%
20250414,241520,DSC인베스트먼트,KOSDAQ,중견기업부,8410,1940,29.98,8410,8410,8410,3461243,291,2312,27496125,2312,100,13%
20250414,12630,HDC,KOSPI,,16800,460,2.82,16550,16840,16150,186605,31.2,10037,59741721,10037,100,0%
20250414,71970,HD현대마린엔진,KOSPI,,33900,2700,8.65,32700,34000,32350,2184243,726.4,11499,33921495,11499,100,6%
20250414,3560,IHQ,KOSPI,,10760,0,0,0,0,0,0,0,647,6010174,647,100,0%
20250414,226360,KH 건설,KOSDAQ,투자주의환기종목(소속부없음),2555,0,0,0,0,0,0,0,607,23756732,607,100,0%
20250414,33180,KH 필룩스,KOSPI,,6630,0,0,0,0,0,0,0,1283,19345405,1283,100,0%
20250414,246690,TS인베스트먼트,KOSDAQ,중견기업부,1930,445,29.97,1886,1930,1834,20283978,387.6,801,41477862,801,100,48%
20250414,139130,iM금융지주,KOSPI,,8890,90,1.02,8820,8940,8780,224023,19.9,14792,166392833,14792,100,0%
20250414,121440,골프존뉴딘홀딩스,KOSDAQ,우량기업부,4520,0,0,4520,4555,4490,83348,3.8,1936,42836818,1936,100,0%
20250414,339770,교촌에프앤비,KOSPI,,6050,190,3.24,5810,6080,5810,89575,5.3,3023,49965080,3023,100,0%
20250414,1140,국보,KOSPI,,2110,0,0,0,0,0,0,0,335,15856388,335,100,0%
20250414,311390,네오크레마,KOSDAQ,벤처기업부,8150,190,2.39,7990,8150,7880,102925,8.3,1031,12653789,1031,100,1%
20250414,137940,넥스트아이,KOSDAQ,중견기업부,685,128,22.98,650,699,590,7734188,50.7,585,85368992,585,100,9%
20250414,285490,노바텍,KOSDAQ,우량기업부,23550,4200,21.71,21550,24300,21300,3330601,775.6,2491,10575831,2491,100,31%
20250414,106520,노블엠앤비,KOSDAQ,투자주의환기종목(소속부없음),411,0,0,0,0,0,0,0,159,38695952,159,100,0%
20250414,8060,대덕,KOSPI,,7480,40,0.54,7470,7500,7380,234475,17.4,2535,33890150,2535,100,1%
20250414,5750,대림바스,KOSPI,,4050,20,0.5,4030,4060,4000,12316,0.5,675,16672240,675,100,0%
20250414,45390,대아티아이,KOSDAQ,우량기업부,3650,175,5.04,3485,3830,3440,3073894,112.6,2572,70473377,2572,100,4%
20250414,373160,데이원컴퍼니,KOSDAQ,기술성장기업부,9420,390,4.32,8720,9750,8510,3837732,357.1,1282,13605424,1282,100,28%
20250414,33500,동성화인텍,KOSDAQ,우량기업부,25450,0,0,26000,26050,24700,633244,160.5,7632,29989494,7632,100,2%
20250414,8970,동양철관,KOSPI,,1575,206,15.05,1380,1639,1370,147879186,2216.7,2483,157681434,2483,100,89%
20250414,196490,디에이테크놀로지,KOSDAQ,투자주의환기종목(소속부없음),203,0,0,0,0,0,0,0,362,178549360,362,100,0%
20250414,241770,메카로,KOSDAQ,벤처기업부,11470,370,3.33,11180,11470,10970,47465,5.4,1169,10192640,1169,100,0%
20250414,333050,모코엠시스,KOSDAQ,벤처기업부,1887,434,29.87,1455,1888,1386,10454516,181.5,464,24613326,464,100,39%
20250414,6920,모헨즈,KOSDAQ,벤처기업부,4450,0,0,4530,5100,4245,12299290,576.9,486,10920000,486,100,119%
20250414,66410,버킷스튜디오,KOSDAQ,중견기업부,1153,0,0,0,0,0,0,0,997,86444648,997,100,0%
20250414,5030,부산주공,KOSPI,,486,0,0,0,0,0,0,0,383,78782988,383,100,0%
20250414,413640,비아이매트릭스,KOSDAQ,벤처기업부,13150,1950,17.41,11500,14100,11420,2003893,263.2,948,7206940,948,100,28%
20250414,9620,삼보산업,KOSDAQ,중견기업부,3380,435,14.77,3395,3620,3210,2185301,74.4,554,16386091,554,100,13%
20250414,36670,삼양케이씨아이,KOSDAQ,우량기업부,6340,120,1.93,6230,6360,6230,16801,1.1,715,11270000,715,100,0%
20250414,42940,상지건설,KOSDAQ,중견기업부,25700,5910,29.86,22500,25700,22300,4297154,1053.1,1023,3981814,1023,100,103%
20250414,43710,서울리거,KOSDAQ,중견기업부,684,31,4.75,644,730,620,1772204,12.1,592,86562510,592,100,2%
20250414,7610,선도전기,KOSPI,,3000,0,0,0,0,0,0,0,540,18000000,540,100,0%
20250414,91090,세원이앤씨,KOSPI,,1270,0,0,0,0,0,0,0,670,52754723,670,100,0%
20250414,318160,셀바이오휴먼텍,KOSDAQ,벤처기업부,5380,50,0.94,5280,5440,5000,116706,6,498,9260901,498,100,1%
20250414,304100,솔트룩스,KOSDAQ,기술성장기업부,39300,7550,23.78,34200,40750,33900,6507642,2476,4767,12130568,4767,100,52%
20250414,347700,스피어,KOSDAQ,기술성장기업부,7730,-70,-0.9,8100,8140,7450,308526,23.7,2976,38500917,2976,100,1%
20250414,20710,시공테크,KOSDAQ,우량기업부,8060,1010,14.33,7400,8980,6970,14984192,1205.8,1616,20047970,1616,100,75%
