기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,f
20250422,16610,DB증권,KOSPI,,6020,110,1.86,5870,6040,5870,65144,3.9,2555,42446389,2555,100,0%
20250422,300,DH오토넥스,KOSPI,,1984,0,0,0,0,0,0,0,1616,81451691,1616,100,
20250422,12630,HDC,KOSPI,,18290,190,1.05,17980,18580,17980,140273,25.8,10927,59741721,10927,100,0%
20250422,3560,IHQ,KOSPI,,10760,0,0,0,0,0,0,0,647,6010174,647,100,
20250422,15360,INVENI,KOSPI,,49100,400,0.82,48800,49400,48450,4980,2.4,2946,6000000,2946,100,0%
20250422,226360,KH 건설,KOSDAQ,투자주의환기종목(소속부없음),2555,0,0,0,0,0,0,0,607,23756732,607,100,
20250422,33180,KH 필룩스,KOSPI,,6630,0,0,0,0,0,0,0,1283,19345405,1283,100,
20250422,3080,SB성보,KOSPI,,2540,5,0.2,2545,2545,2530,29290,0.7,509,20020000,509,100,
20250422,317770,엑스페릭스,KOSDAQ,벤처기업부,6350,-800,-11.19,9290,9290,5950,52492838,3854.1,1610,25358187,1813,88.8,239%
20250422,77970,STX엔진,KOSPI,,22050,300,1.38,21300,22300,21300,127543,28.1,8853,40148063,8853,100,0%
20250422,139130,iM금융지주,KOSPI,,9560,60,0.63,9500,9620,9480,426834,40.9,15907,166392833,15907,100,0%
20250422,13580,계룡건설,KOSPI,,31300,0,0,0,0,0,0,0,2795,8930907,2795,100,
20250422,121440,골프존홀딩스,KOSDAQ,우량기업부,4540,-60,-1.3,4585,4585,4520,77817,3.5,1945,42836818,1945,100,0%
20250422,1140,국보,KOSPI,,2110,0,0,0,0,0,0,0,335,15856388,335,100,
20250422,42940,상지건설,KOSDAQ,중견기업부,32350,3850,13.51,30650,35500,26700,9665317,3071.4,1288,3981814,1728,74.5,238%
20250422,11780,금호석유화학,KOSPI,,115800,100,0.09,115700,118000,114900,43674,50.8,30640,26459587,30640,100,0%
20250422,286750,나노실리칸첨단소재,KOSDAQ,기술성장기업부,2770,-95,-3.32,2865,2875,2730,412002,11.5,596,21513559,596,100,
20250422,163280,에어레인,KOSDAQ,기술성장기업부,21600,750,3.6,22800,25050,21250,11765673,2777.3,1766,8174789,1876,94.1,157%
20250422,33230,인성정보,KOSDAQ,중견기업부,2350,-95,-3.89,2400,2790,2280,47423094,1214.4,1187,50515380,1379,86.1,102%
20250422,320,노루홀딩스,KOSPI,,14420,60,0.42,14250,14480,14250,8947,1.3,1917,13291151,1917,100,0%
20250422,106520,노블엠앤비,KOSDAQ,투자주의환기종목(소속부없음),411,0,0,0,0,0,0,0,159,38695952,159,100,
20250422,8060,대덕,KOSPI,,7950,20,0.25,7930,8030,7870,162682,12.9,2694,33890150,2694,100,0%
20250422,3540,대신증권,KOSPI,,17440,200,1.16,17120,17510,17120,171345,29.8,8855,50773400,8855,100,0%
20250422,159580,제로투세븐,KOSDAQ,중견기업부,7010,730,11.62,6390,7900,6120,18445728,1344.5,1404,20032636,1404,100,96%
20250422,309960,LB인베스트먼트,KOSDAQ,중견기업부,5970,230,4.01,6090,7170,5790,19663885,1280.4,1386,23217239,1674,82.8,92%
20250422,196490,디에이테크놀로지,KOSDAQ,투자주의환기종목(소속부없음),203,0,0,0,0,0,0,0,362,178549360,362,100,
20250422,98120,마이크로컨텍솔,KOSDAQ,중견기업부,11350,60,0.53,11190,11360,10950,84612,9.4,943,8312766,943,100,
20250422,6920,모헨즈,KOSDAQ,벤처기업부,4835,285,6.26,4705,5300,4340,7826160,381.7,528,10920000,528,100,
20250422,81660,미스토홀딩스,KOSPI,,35600,150,0.42,35500,35800,35050,99874,35.5,21394,60095839,21394,100,0%
20250422,66410,버킷스튜디오,KOSDAQ,중견기업부,1153,0,0,0,0,0,0,0,997,86444648,997,100,
20250422,5030,부산주공,KOSPI,,486,0,0,0,0,0,0,0,383,78782988,383,100,
20250422,3230,삼양식품,KOSPI,,961000,4000,0.42,959000,972000,950000,24927,239.1,72392,7533015,72392,100,0%
20250422,36670,삼양케이씨아이,KOSDAQ,우량기업부,6360,0,0,6350,6380,6310,3977,0.3,717,11270000,717,100,
20250422,8830,대동기어,KOSDAQ,우량기업부,21900,3390,18.31,18260,22700,18240,7950884,1702.4,1968,8987520,2418,81.4,87%
20250422,4450,삼화왕관,KOSPI,,39450,4950,14.35,34200,40100,33000,60997,23.2,850,2154379,850,100,
20250422,393210,토마토시스템,KOSDAQ,기술성장기업부,8550,-330,-3.72,8890,10200,8370,11634635,1081.4,1335,15614544,1889,70.7,81%
20250422,7610,선도전기,KOSPI,,3000,0,0,0,0,0,0,0,540,18000000,540,100,
20250422,2800,신신제약,KOSDAQ,중견기업부,6700,-790,-10.55,8010,8730,6580,9908168,771.1,1016,15170500,1136,89.4,76%
20250422,91090,세원이앤씨,KOSPI,,1270,0,0,0,0,0,0,0,670,52754723,670,100,
20250422,318160,셀바이오휴먼텍,KOSDAQ,벤처기업부,6120,140,2.34,5890,6360,5820,70318,4.3,567,9260901,567,100,
20250422,7720,소노스퀘어,KOSDAQ,중견기업부,877,0,0,869,884,854,224748,2,884,100800450,884,100,
20250422,307930,컴퍼니케이,KOSDAQ,중견기업부,6710,-830,-11.01,7720,8700,6550,10415656,792.8,1047,15610000,1177,89,76%
20250422,293580,나우IB,KOSDAQ,중견기업부,1856,-324,-14.86,2390,2570,1812,60526855,1282,1762,94929950,2069,85.2,73%
20250422,102280,쌍방울,KOSPI,,13450,0,0,0,0,0,0,0,706,5251842,706,100,
20250422,96610,알에프세미,KOSDAQ,투자주의환기종목(소속부없음),2965,0,0,0,0,0,0,0,516,17386411,516,100,
20250422,38110,에코플라스틱,KOSDAQ,우량기업부,3080,610,24.7,2550,3190,2550,25513689,766.8,1268,41169370,1900,66.7,60%
20250422,437730,삼현,KOSDAQ,기술성장기업부,14700,1810,14.04,12550,16260,12390,16254827,2428.3,4661,31707567,4661,100,52%
20250422,50760,에스폴리텍,KOSDAQ,중견기업부,1961,80,4.25,1881,2100,1863,554029,10.9,320,16334678,320,100,
20250422,140910,에이리츠,KOSPI,,3130,0,0,0,0,0,0,0,140,4463032,140,100,
20250422,13990,아가방컴퍼니,KOSDAQ,우량기업부,7930,-300,-3.65,8450,9300,7820,13978205,1223,2608,32887536,2707,96.3,47%
