기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,ㄴ
20250507,5930,삼성전자,KOSPI,,54600,300,0.55,54500,55000,54300,17136991,9346,3232122,5919637922,3658336,88.3,0%
20250507,660,SK하이닉스,KOSPI,,190800,4800,2.58,187700,191500,185900,3830097,7268.3,1389029,728002365,1568845,88.5,1%
20250507,373220,LG에너지솔루션,KOSPI,,322500,2000,0.62,322000,324500,319000,217160,697.5,754650,234000000,842400,89.6,0%
20250507,207940,삼성바이오로직스,KOSPI,,1041000,-44000,-4.06,1070000,1070000,1034000,119871,1257.2,740921,71174000,792167,93.5,0%
20250507,5380,현대차,KOSPI,,187600,-1800,-0.95,191400,191400,186500,666181,1251.6,392865,209416191,464904,84.5,0%
20250507,12450,한화에어로스페이스,KOSPI,,890000,72000,8.8,832000,890000,827000,468435,4015.8,405672,45581161,405672,100,1%
20250507,270,기아,KOSPI,,88100,-1300,-1.45,90200,90400,87500,1093539,964.6,350350,397672632,403240,86.9,0%
20250507,68270,셀트리온,KOSPI,,160300,-2100,-1.29,160400,160500,156300,586080,931.8,357453,222989898,401239,89.1,0%
20250507,329180,HD현대중공업,KOSPI,,415500,7000,1.71,428000,430500,411000,343132,1439.8,368852,88773116,368852,100,0%
20250507,105560,KB금융,KOSPI,,93600,400,0.43,94800,94900,93500,1441226,1354.8,368343,393528423,368343,100,0%
20250507,35420,NAVER,KOSPI,,199100,1700,0.86,200000,202000,198200,622014,1240.9,315448,158437008,331926,95,0%
20250507,42660,한화오션,KOSPI,,80400,1500,1.9,81300,81800,79500,2860249,2304.7,246356,306413394,275466,89.4,1%
20250507,5490,POSCO홀딩스,KOSPI,,261500,6000,2.35,259000,266000,259000,282409,741.5,211640,80932952,274313,77.2,0%
20250507,12330,현대모비스,KOSPI,,258000,1500,0.58,257000,258500,252000,158435,406.3,239927,92995094,265501,90.4,0%
20250507,55550,신한지주,KOSPI,,51100,-100,-0.2,52000,52300,51100,1328471,684.2,257261,503445325,258771,99.4,0%
20250507,196170,알테오젠,KOSDAQ GLOBAL,우량기업부,356500,0,0,350500,357500,339500,330455,1159.6,190082,53318828,236469,80.4,1%
20250507,138040,메리츠금융지주,KOSPI,,122200,-400,-0.33,123700,123800,120500,268791,327.5,219978,180014473,234586,93.8,0%
20250507,28260,삼성물산,KOSPI,,122800,600,0.49,123700,123800,121200,222256,272.6,208731,169976544,212301,98.3,0%
20250507,9540,HD한국조선해양,KOSPI,,280000,2500,0.9,282500,288000,278000,299358,842.2,198165,70773116,198165,100,0%
20250507,35720,카카오,KOSPI,,38350,300,0.79,38350,38550,37800,1891623,724.4,170225,443872400,195237,87.2,0%
20250507,51910,LG화학,KOSPI,,208000,-2000,-0.95,212500,213000,206500,369484,770.2,146832,70592343,192011,76.5,1%
20250507,96770,SK이노베이션,KOSPI,,93000,-400,-0.43,94500,94700,92600,197243,184.1,140462,151034776,190455,73.8,0%
20250507,810,삼성화재,KOSPI,,377000,0,0,403000,403000,371500,90936,344.8,178603,47374837,188315,94.8,0%
20250507,86790,하나금융지주,KOSPI,,65300,1200,1.87,65900,66000,65000,1018156,666.9,187568,287240880,187568,100,0%
20250507,34020,두산에너빌리티,KOSPI,,27300,-400,-1.44,25150,27500,25150,12312853,3260.4,174873,640561146,185442,94.3,2%
20250507,259960,크래프톤,KOSPI,,385500,500,0.13,390000,393000,378500,142419,550.7,184725,47918199,184937,99.9,0%
20250507,11200,HMM,KOSPI,,18530,280,1.53,18300,18610,18210,1381648,255.5,163257,881039496,183256,89.1,0%
20250507,10130,고려아연,KOSPI,,771000,-12000,-1.53,806000,808000,766000,24904,193.6,159622,20703283,182603,87.4,0%
20250507,32830,삼성생명,KOSPI,,84600,-700,-0.82,86300,86400,84500,130632,111.3,169200,200000000,172400,98.1,0%
20250507,15760,한국전력,KOSPI,,26600,1000,3.91,25850,26650,25850,3433375,907.9,170762,641964077,170762,100,1%
20250507,6400,삼성SDI,KOSPI,,172200,-1400,-0.81,175400,176400,171400,405002,698.8,118413,68764530,143374,82.6,1%
20250507,33780,KT&G,KOSPI,,114800,-1200,-1.03,118900,119000,114400,209308,241.6,140128,122062497,141592,99,0%
20250507,66570,LG전자,KOSPI,,71200,600,0.85,72000,72000,70800,335932,239.4,116517,163647814,138773,84,0%
20250507,10140,삼성중공업,KOSPI,,14880,270,1.85,14880,14980,14730,4638207,689.4,130944,880000000,135872,96.4,1%
20250507,402340,SK스퀘어,KOSPI,,92300,1000,1.1,94700,94700,91100,275522,255,122335,132540858,135151,90.5,0%
20250507,30200,KT,KOSPI,,52000,-1500,-2.8,54100,54300,52000,1379548,745.8,131051,252021685,134832,97.2,1%
20250507,316140,우리금융지주,KOSPI,,17830,110,0.62,17950,18060,17830,2828783,506.9,132404,742591501,132404,100,0%
20250507,267260,HD현대일렉트릭,KOSPI,,335500,12500,3.87,331500,337000,326500,345682,1150.5,120938,36047135,130130,92.9,1%
20250507,64350,현대로템,KOSPI,,118300,6800,6.1,114800,118400,114000,1509210,1757.2,129115,109142293,129115,100,1%
20250507,17670,SK텔레콤,KOSPI,,53100,-600,-1.12,53700,54000,53100,1404200,749.8,114054,214790053,126297,90.3,1%
20250507,24110,기업은행,KOSPI,,15260,40,0.26,15430,15480,15240,942670,144.2,121687,797425869,125993,96.6,0%
20250507,323410,카카오뱅크,KOSPI,,23300,1200,5.43,22500,23400,22300,1048381,241,111135,476976137,112805,98.5,0%
20250507,352820,하이브,KOSPI,,264500,0,0,267000,267500,261500,203802,537.4,110170,41652097,111211,99.1,0%
20250507,3670,포스코퓨처엠,KOSPI,,122700,-2200,-1.76,126500,126900,120900,250507,306.8,95047,77463220,111160,85.5,0%
20250507,3550,LG,KOSPI,,66300,-400,-0.6,67800,67900,65800,171368,114,104291,157300993,110425,94.4,0%
20250507,247540,에코프로비엠,KOSDAQ GLOBAL,우량기업부,100600,-3900,-3.73,104800,105300,99600,400563,404,98388,97801344,110418,89.1,0%
20250507,100,유한양행,KOSPI,,109700,-3800,-3.35,112900,113300,109500,402427,443.9,87989,80209064,105154,83.7,1%
20250507,9150,삼성전기,KOSPI,,118300,700,0.6,118500,119600,117800,166753,197.6,88363,74693696,104198,84.8,0%
20250507,47050,포스코인터내셔널,KOSPI,,49050,250,0.51,48850,49750,48800,241201,119.1,86290,175922788,103794,83.1,0%
20250507,34730,SK,KOSPI,,132500,800,0.61,133200,134200,131600,98611,130.9,96066,72502703,100779,95.3,0%
20250507,28300,HLB,KOSDAQ,중견기업부,58800,1400,2.44,58000,59200,56700,561427,328,77278,131425086,100774,76.7,0%
20250507,18260,삼성에스디에스,KOSPI,,128000,-800,-0.62,129200,129500,127200,121371,155.8,99044,77377800,99663,99.4,0%
20250507,86280,현대글로비스,KOSPI,,105400,-2100,-1.95,107800,108600,105000,368874,389.2,79050,75000000,98700,80.1,0%
20250507,42700,한미반도체,KOSPI,,77700,1400,1.83,76800,79100,76800,684436,533.8,75069,96614259,87339,86,1%
20250507,47810,한국항공우주,KOSPI,,88000,2700,3.17,87000,88600,86300,1082767,948.8,85778,97475107,86363,99.3,1%
20250507,272210,한화시스템,KOSPI,,44650,2950,7.07,42500,44900,41850,5005866,2196.7,84353,188919389,84353,100,3%
20250507,326030,SK바이오팜,KOSPI,,99000,-8400,-7.82,105400,106000,99000,422904,423.1,77530,78313250,84108,92.2,1%
20250507,3490,대한항공,KOSPI,,22650,1650,7.86,22050,22950,22000,5127876,1158,83402,368220661,83770,99.6,1%
20250507,86520,에코프로,KOSDAQ,중견기업부,48400,-1800,-3.59,50600,50900,47950,742958,362.7,65716,135776152,81348,80.8,1%
20250507,443060,HD현대마린솔루션,KOSPI,,159600,6600,4.31,155200,159600,155200,124037,194.6,71547,44829210,76882,93.1,0%
20250507,3230,삼양식품,KOSPI,,950000,-38000,-3.85,987000,989000,928000,81191,770,71564,7533015,74426,96.2,1%
20250507,79550,LIG넥스원,KOSPI,,336500,6500,1.97,338000,347000,333000,277389,938.1,74030,22000000,74030,100,1%
20250507,90430,아모레퍼시픽,KOSPI,,123300,-2300,-1.83,126500,126500,121600,232397,286.8,72122,58492759,73467,98.2,0%
20250507,5830,DB손해보험,KOSPI,,91300,-1600,-1.72,94200,94200,90900,256027,235.2,64640,70800000,69809,92.6,0%
20250507,10620,HD현대미포,KOSPI,,172100,0,0,173000,174300,170800,355768,613.7,68740,39942149,68740,100,1%
20250507,6800,미래에셋증권,KOSPI,,11980,10,0.08,12080,12290,11900,1496848,180.3,68324,570316408,68324,100,0%
20250507,10950,S-Oil,KOSPI,,52300,200,0.38,52700,52800,52000,137445,72.1,58881,112582792,65636,89.7,0%
20250507,10120,LS ELECTRIC,KOSPI,,215500,5000,2.38,212500,218500,210500,212893,456.6,64650,30000000,64650,100,1%
