기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수
20250508,060310,3S,KOSDAQ,벤처기업부,2315,-45,-1.91,2400,2435,2300,833798,19.6,1228.0,53059040,1350.0,91.0
20250508,095570,AJ네트웍스,KOSPI,,3815,-25,-0.65,3840,3850,3800,190658,7.3,1726.0,45252759,1738.0,99.3
20250508,006840,AK홀딩스,KOSPI,,10630,-20,-0.19,10730,10780,10540,5749,0.6,1408.0,13247561,1425.0,98.8
20250508,054620,APS,KOSDAQ,중견기업부,5270,-330,-5.89,5600,5650,5260,80399,4.3,1048.0,19894221,1267.0,82.7
20250508,265520,AP시스템,KOSDAQ,우량기업부,17340,110,0.64,17350,17510,17210,26019,4.5,2650.0,15281421,2844.0,93.2
20250508,211270,AP위성,KOSDAQ,우량기업부,12410,80,0.65,12250,12420,12250,27058,3.4,1872.0,15082304,1971.0,95.0
20250508,109960,AP헬스케어,KOSDAQ,투자주의환기종목(소속부없음),365,-6,-1.62,379,379,363,234561,0.9,733.0,200789269,1006.0,72.9
20250508,027410,BGF,KOSPI,,3650,15,0.41,3635,3655,3605,65107,2.4,3494.0,95716791,3494.0,100.0
20250508,282330,BGF리테일,KOSPI,,112600,-300,-0.27,112000,113900,111500,48619,54.8,19462.0,17283906,19514.0,99.7
20250508,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,2945,45,1.55,2905,2990,2900,24169,0.7,1848.0,62766899,1855.0,99.6
20250508,138930,BNK금융지주,KOSPI,,10350,-100,-0.96,10420,10550,10350,1197894,124.8,32953.0,318383519,35341.0,93.2
20250508,001460,BYC,KOSPI,,28100,-50,-0.18,28250,28600,28100,783,0.2,1755.0,6246150,1786.0,98.3
20250508,013720,CBI,KOSDAQ,중견기업부,1804,5,0.28,1775,1836,1775,282056,5.1,922.0,51128143,964.0,95.6
20250508,083790,CG인바이츠,KOSDAQ,벤처기업부,2040,-60,-2.86,2080,2130,1997,168285,3.4,1569.0,76894182,1795.0,87.4
20250508,001040,CJ,KOSPI,,129500,3300,2.61,125500,132200,125500,170010,220.5,37784.0,29176998,38251.0,98.8
20250508,079160,CJ CGV,KOSPI,,5050,50,1.0,5020,5060,4970,174303,8.7,8362.0,165580269,8362.0,100.0
20250508,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,55800,-4800,-7.92,60100,60800,55400,220049,125.1,12236.0,21929154,13706.0,89.3
20250508,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,10280,90,0.88,10190,10290,10170,7502,0.8,1343.0,13065462,1512.0,88.8
20250508,00104K,CJ4우(전환),KOSPI,,104200,2000,1.96,102200,105900,102200,19208,20.0,4404.0,4226512,4404.0,100.0
20250508,000120,CJ대한통운,KOSPI,,83000,-1100,-1.31,83500,86100,83000,81614,68.5,18934.0,22812344,20394.0,92.8
20250508,011150,CJ씨푸드,KOSPI,,3255,20,0.62,3235,3290,3200,336824,11.0,1170.0,35930773,1188.0,98.5
