기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,비중
20250612,007110,일신석재,KOSPI,,2735,140,5.39,2820,3010,2715,68366825,1948.9,2118.0,77456610,2118.0,100.0,92.0
20250612,158430,아톤,KOSDAQ,벤처기업부,8070,380,4.94,7560,8950,7560,18421118,1528.1,2001.0,24798851,2001.0,100.0,76.4
20250612,032820,우리기술,KOSDAQ,벤처기업부,2620,265,11.25,2475,2860,2410,98428221,2589.9,4315.0,164677432,4315.0,100.0,60.0
20250612,388050,지투파워,KOSDAQ,벤처기업부,11190,1530,15.84,11050,12450,10780,10399276,1204.4,2094.0,18709437,2094.0,100.0,57.5
20250612,130660,한전산업,KOSPI,,14690,2320,18.76,13100,15760,12910,11962052,1749.6,4789.0,32600000,4789.0,100.0,36.5
20250612,009270,신원,KOSPI,,1912,145,8.21,1884,2035,1842,33523527,648.0,2006.0,104891065,2006.0,100.0,32.3
20250612,025980,아난티,KOSDAQ,우량기업부,9870,2080,26.7,8820,10120,8630,28575176,2779.1,8748.0,88629478,8748.0,100.0,31.8
20250612,044490,태웅,KOSDAQ,우량기업부,32950,3850,13.23,31400,35400,30500,6271272,2085.4,6592.0,20007381,6592.0,100.0,31.6
20250612,267320,나인테크,KOSDAQ,벤처기업부,4140,395,10.55,3745,4480,3680,14096381,595.8,2211.0,53398327,2211.0,100.0,26.9
20250612,006490,인스코비,KOSPI,,1957,130,7.12,1800,2175,1729,24540156,487.1,2376.0,121426522,2376.0,100.0,20.5
20250612,045390,대아티아이,KOSDAQ,우량기업부,5340,650,13.86,4995,5690,4860,14027571,743.8,3763.0,70473377,3763.0,100.0,19.8
20250612,052690,한전기술,KOSPI,,89700,18300,25.63,78000,92800,76400,7718221,6671.6,34283.0,38220000,34283.0,100.0,19.5
20250612,457550,우진엔텍,KOSDAQ,중견기업부,22100,1400,6.76,21800,24250,21250,1532553,348.3,2049.0,9271339,2068.0,99.1,17.0
20250612,098070,한텍,KOSDAQ,중견기업부,39100,950,2.49,39000,41600,38400,1633671,653.8,4348.0,11121141,4977.0,87.4,15.0
20250612,462860,더즌,KOSDAQ,중견기업부,3635,5,0.14,3605,3785,3555,10384956,382.0,2596.0,71413257,2596.0,100.0,14.7
20250612,310200,애니플러스,KOSDAQ,중견기업부,4335,20,0.46,4290,4395,4265,7209117,296.3,2124.0,48985719,2124.0,100.0,14.0
20250612,298830,슈어소프트테크,KOSDAQ,벤처기업부,5590,200,3.71,5410,6040,5310,6560673,372.9,2941.0,52619061,2941.0,100.0,12.7
20250612,105840,우진,KOSPI,,10250,970,10.45,9760,10710,9600,2319972,237.3,2070.0,20197670,2070.0,100.0,11.5
20250612,124500,아이티센글로벌,KOSDAQ,중견기업부,22750,1600,7.57,20500,23850,20050,2546666,564.9,5279.0,23204527,5279.0,100.0,10.7
20250612,419530,SAMG엔터,KOSDAQ,기술성장기업부,78900,7400,10.35,71500,84500,69200,782181,619.2,6920.0,8770930,6920.0,100.0,8.9
20250612,240550,동방메디컬,KOSDAQ,벤처기업부,13200,310,2.4,13520,13610,12780,1754936,231.8,2742.0,20774940,2742.0,100.0,8.5
20250612,483650,달바글로벌,KOSPI,,164600,17100,11.59,148100,168400,144800,1040195,1652.1,19867.0,12069665,19867.0,100.0,8.3
20250612,003530,한화투자증권,KOSPI,,6350,790,14.21,5540,6800,5510,18072335,1122.7,13624.0,214547775,13624.0,100.0,8.2
20250612,064400,LG씨엔에스,KOSPI,,59000,6300,11.95,52800,61600,52700,7645330,4500.3,57163.0,96885948,57163.0,100.0,7.9
20250612,456010,아이씨티케이,KOSDAQ,기술성장기업부,17270,100,0.58,18070,18220,17270,1032310,183.3,2318.0,13420676,2652.0,87.4,7.9
20250612,070960,모나용평,KOSPI,,5240,450,9.39,5600,5700,5160,3550745,191.8,2522.0,48133333,2522.0,100.0,7.6
20250612,051600,한전KPS,KOSPI,,50300,6150,13.93,46200,54000,45700,3295811,1663.2,22635.0,45000000,22635.0,100.0,7.3
20250612,008970,동양철관,KOSPI,,1499,4,0.27,1510,1545,1492,10802692,163.6,2388.0,159323019,2789.0,85.6,6.9
20250612,060370,LS마린솔루션,KOSDAQ,우량기업부,30150,800,2.73,32600,34600,29650,2049996,649.3,9850.0,32668854,9850.0,100.0,6.6
20250612,356680,엑스게이트,KOSDAQ,벤처기업부,8960,360,4.19,9280,9450,8870,1711971,156.6,2557.0,28543492,2557.0,100.0,6.1
20250612,083650,비에이치아이,KOSDAQ,중견기업부,43050,1950,4.74,43850,45650,42300,1722045,757.1,13322.0,30944375,13322.0,100.0,5.7
20250612,033500,동성화인텍,KOSDAQ,우량기업부,27550,1700,6.58,26250,27950,26150,1687532,464.5,8262.0,29989494,8397.0,98.4,5.6
20250612,356860,티엘비,KOSDAQ,우량기업부,20750,1460,7.57,19150,21100,19060,539191,110.2,2040.0,9832630,2040.0,100.0,5.4
20250612,050890,쏠리드,KOSDAQ,우량기업부,7320,10,0.14,7560,7570,7120,3115841,229.2,4472.0,61095231,4607.0,97.1,5.1
