,date,company_name,analyst_name,target_price,judge,title,description
279,20250619,티엘비,황지현,27000,BUY,쌓이는 수주잔고,/잘 하고 있는 본업/미래 성장 동력까지 확보
1576,20250521,티엘비,양승수,25000,BUY,부화 임박,/1Q25 Review: DDR5 매출 급증/2025년 두가지 Keyword 1) 초과 수요 지속 2) 수익성 정상화
1669,20250520,티엘비,조현지,25000,BUY,쌓이는 서버용 기판 수주가 실적 재건의 중심,"/1Q25 컨센서스 하회했지만 2Q25E부터 성장궤도 진입 기대/목표주가 25,000원으로 상향"
1670,20250520,티엘비,박희철,22000,BUY,턴어라운드 기대감 확인,"/1Q25 Review: 매출액 530억원, 영업이익 19억원/강한 턴어라운드를 위한 남은 한 조각"
2035,20250516,티엘비,박강호,25000,BUY,서버향 매출 확대,/1Q25 매출(530억원)은 추정을 14% 상회한 PCB 업종내 차별화/서버향 R-DIMM 모듈이 메모리 반도체 3사향 매출 증가
6477,20250328,티엘비,양승수,27000,BUY,전방 공급 제한 속 지속되는 고부가 수주,"/1Q25 Preview: DDR5 매출 급증/고부가 기판 중심 재편 속, 동사의 기술 우위 지속 부각 전망"
8025,20250221,티엘비,박희철,28500,BUY,고성능 대응 역량과 수요 확대 조짐,"/4Q24 Review: 매출액 498억원, 영업이익 9억원/빛을 보는 고성능 대응 역량"
8067,20250221,티엘비,박강호,25000,BUY,"2025년 CXL, LPCAMM 등 새로운 반도체 개화의 수혜~",/4Q24 매출(498억원)은 추정을 9.2% 상회한 PCB 업종내 차별화/서버향 R-DIMM 및 eSSD 모듈 매출 확대로 2025년 실적 개선 전망
8150,20250219,티엘비,양승수,25000,BUY,기술 선점의 수확 시기 진입,"/4Q24 Review: 컨센서스 상회/양호한 하반기, 기대되는 2025년"
10709,20250123,티엘비,양승수,23000,BUY,고밀도화의 수혜 지속,"/4Q24 Preview: 컨센서스 상회/고밀도화의 수혜 지속, 견조한 ASP 유지 전망"
