섹터,기업,구분,항목,2021,2022,2023,2024,2025/12(E),2026/12(E),2024/12(E),2027/12(E)
,3S,연결,매출액(억원),,,,,,,,
,3S,연결,  전년동기대비(%),,,,,,,,
,3S,연결,  컨센서스대비(%),,,,,,,,
,3S,연결,영업이익(억원),,,,,,,,
,3S,연결,  전년동기대비(%),,,,,,,,
,3S,연결,  컨센서스대비(%),,,,,,,,
,3S,연결,당기순이익(억원),,,,,,,,
,3S,연결,  전년동기대비(%),,,,,,,,
,3S,연결,  컨센서스대비(%),,,,,,,,
,AJ네트웍스,연결,매출액(억원),"9,819.48","11,936.52","10,019.76","10,116","10,694","11,211",,
,AJ네트웍스,연결,  전년동기대비(%),12.61,21.56,-16.06,0.96,5.72,4.83,,
,AJ네트웍스,연결,  컨센서스대비(%),,,-3.29,-1.8,-,-,,
,AJ네트웍스,연결,영업이익(억원),480.72,764.19,783.86,725,916,"1,032",,
,AJ네트웍스,연결,  전년동기대비(%),127.95,58.97,2.57,-7.52,26.36,12.66,,
,AJ네트웍스,연결,  컨센서스대비(%),,,2.67,-13.91,-,-,,
,AJ네트웍스,연결,당기순이익(억원),767.37,86.67,164.72,218,294,406,,
,AJ네트웍스,연결,  전년동기대비(%),흑전,-88.71,90.05,32.27,34.94,38.21,,
,AJ네트웍스,연결,  컨센서스대비(%),,,44.18,-24.53,-,-,,
,AK홀딩스,연결,매출액(억원),,"37,879.60","44,796.60","44,882.81",,,,
,AK홀딩스,연결,  전년동기대비(%),,19.58,18.26,0.19,,,,
,AK홀딩스,연결,  컨센서스대비(%),,,,,-,-,-,
,AK홀딩스,연결,영업이익(억원),,-218.22,"2,791.24","1,303.20",,,,
,AK홀딩스,연결,  전년동기대비(%),,적지,흑전,-53.31,,,,
,AK홀딩스,연결,  컨센서스대비(%),,,,,-,-,-,
,AK홀딩스,연결,당기순이익(억원),,"-1,248.58","1,303.95",-165.86,,,,
,AK홀딩스,연결,  전년동기대비(%),,적지,흑전,적전,,,,
,AK홀딩스,연결,  컨센서스대비(%),,,,,-,-,-,
,APS,연결,매출액(억원),394.16,408.22,410.47,940,,,,
,APS,연결,  전년동기대비(%),55.51,3.57,0.55,128.92,,,,
,APS,연결,  컨센서스대비(%),,16.63,,,-,-,,
,APS,연결,영업이익(억원),-39.64,-152.7,-186.04,-225,,,,
,APS,연결,  전년동기대비(%),적지,적지,적지,적지,,,,
,APS,연결,  컨센서스대비(%),,적지,,,-,-,,
,APS,연결,당기순이익(억원),235.86,63.93,140.43,-81,,,,
,APS,연결,  전년동기대비(%),흑전,-72.89,119.66,적전,,,,
,APS,연결,  컨센서스대비(%),,-41.88,,,-,-,,
,AP시스템,연결,매출액(억원),"5,287.41","4,866.08","5,335.79","5,167",,,,
,AP시스템,연결,  전년동기대비(%),-10.65,-7.97,9.65,-3.16,,,,
,AP시스템,연결,  컨센서스대비(%),,,,,-,-,,
,AP시스템,연결,영업이익(억원),643.05,904.85,601.21,472,,,,
,AP시스템,연결,  전년동기대비(%),38.95,40.71,-33.56,-21.51,,,,
,AP시스템,연결,  컨센서스대비(%),,,,,-,-,,
,AP시스템,연결,당기순이익(억원),571.66,822.38,600.34,518,,,,
,AP시스템,연결,  전년동기대비(%),129.11,43.86,-27,-13.74,,,,
,AP시스템,연결,  컨센서스대비(%),,,,,-,-,,
,AP위성,연결,매출액(억원),402.02,536.04,494.34,,,,,
