기업,구분,항목,2022/12,2023/12,2024/12,2025/12(E),2026/12(E),2027/12(E)
3S,연결,매출액(억원),,,,,,
3S,연결,  전년동기대비(%),,,,,,
3S,연결,  컨센서스대비(%),,,,,,
3S,연결,영업이익(억원),,,,,,
3S,연결,  전년동기대비(%),,,,,,
3S,연결,  컨센서스대비(%),,,,,,
3S,연결,당기순이익(억원),,,,,,
3S,연결,  전년동기대비(%),,,,,,
3S,연결,  컨센서스대비(%),,,,,,
AJ네트웍스,연결,매출액(억원),"11,936.52","9,365.25","10,141.56","10,596","10,927",
AJ네트웍스,연결,  전년동기대비(%),21.56,-21.54,8.29,4.48,3.12,
AJ네트웍스,연결,  컨센서스대비(%),,-9.61,-1.55,-,-,-
AJ네트웍스,연결,영업이익(억원),764.19,784.72,727.90,879,988,
AJ네트웍스,연결,  전년동기대비(%),58.97,2.69,-7.24,20.76,12.40,
AJ네트웍스,연결,  컨센서스대비(%),,2.78,-13.55,-,-,-
AJ네트웍스,연결,당기순이익(억원),86.67,164.72,216.01,311,420,
AJ네트웍스,연결,  전년동기대비(%),-88.71,90.05,31.14,43.97,34.89,
AJ네트웍스,연결,  컨센서스대비(%),,44.18,-25.17,-,-,-
AK홀딩스,연결,매출액(억원),"37,879.60","44,796.60","44,882.81",,,
AK홀딩스,연결,  전년동기대비(%),19.58,18.26,0.19,,,
AK홀딩스,연결,  컨센서스대비(%),,,,-,-,-
AK홀딩스,연결,영업이익(억원),-218.22,"2,791.24","1,303.20",,,
AK홀딩스,연결,  전년동기대비(%),적지,흑전,-53.31,,,
AK홀딩스,연결,  컨센서스대비(%),,,,-,-,-
AK홀딩스,연결,당기순이익(억원),"-1,248.58","1,303.95",-165.86,,,
AK홀딩스,연결,  전년동기대비(%),적지,흑전,적전,,,
AK홀딩스,연결,  컨센서스대비(%),,,,-,-,-
APS,연결,매출액(억원),408.22,410.47,939.65,,,
APS,연결,  전년동기대비(%),3.57,0.55,128.92,,,
APS,연결,  컨센서스대비(%),16.63,,,-,-,-
APS,연결,영업이익(억원),-152.70,-186.04,-226.38,,,
APS,연결,  전년동기대비(%),적지,적지,적지,,,
APS,연결,  컨센서스대비(%),적지,,,-,-,-
APS,연결,당기순이익(억원),63.93,140.43,-34.47,,,
APS,연결,  전년동기대비(%),-72.89,119.66,적전,,,
APS,연결,  컨센서스대비(%),-41.88,,,-,-,-
AP시스템,연결,매출액(억원),"4,866.08","5,335.79","5,166.98","5,563","6,052",
AP시스템,연결,  전년동기대비(%),-7.97,9.65,-3.16,7.66,8.79,
AP시스템,연결,  컨센서스대비(%),,,,-,-,-
AP시스템,연결,영업이익(억원),904.85,601.21,471.90,617,817,
AP시스템,연결,  전년동기대비(%),40.71,-33.56,-21.51,30.75,32.41,
AP시스템,연결,  컨센서스대비(%),,,,-,-,-
AP시스템,연결,당기순이익(억원),822.38,600.34,517.84,601,735,
AP시스템,연결,  전년동기대비(%),43.86,-27.00,-13.74,16.06,22.30,
AP시스템,연결,  컨센서스대비(%),,,,-,-,-
AP위성,연결,매출액(억원),536.04,494.34,586.32,,,
AP위성,연결,  전년동기대비(%),33.34,-7.78,18.61,,,
AP위성,연결,  컨센서스대비(%),,,,-,-,-
AP위성,연결,영업이익(억원),44.94,100.71,73.00,,,
AP위성,연결,  전년동기대비(%),433.73,124.10,-27.51,,,
AP위성,연결,  컨센서스대비(%),,,,-,-,-
