기업	구분	항목	"44,896 "	"45,261 "	"45,627 "	2025/12(E)	2026/12(E)	2027/12(E)	ㅁ	ㅇ
3S	연결	매출액(억원)								
3S	연결	  전년동기대비(%)								
3S	연결	  컨센서스대비(%)								
3S	연결	영업이익(억원)								
3S	연결	  전년동기대비(%)								
3S	연결	  컨센서스대비(%)								
3S	연결	당기순이익(억원)								
3S	연결	  전년동기대비(%)								
3S	연결	  컨센서스대비(%)								
AJ네트웍스	연결	매출액(억원)	"11,937 "	"9,365 "	"10,142 "	"11,070 "	"11,690 "	"12,320 "		
AJ네트웍스	연결	  전년동기대비(%)	22 	-22 	8 	9 	6 	5 		
AJ네트웍스	연결	  컨센서스대비(%)		-10 	-2 	-	-	-		
AJ네트웍스	연결	영업이익(억원)	764 	785 	728 	690 	850 	940 		
AJ네트웍스	연결	  전년동기대비(%)	59 	3 	-7 	-5 	23 	11 		
AJ네트웍스	연결	  컨센서스대비(%)		3 	-14 	-	-	-		
AJ네트웍스	연결	당기순이익(억원)	87 	165 	216 	200 	190 	270 		
AJ네트웍스	연결	  전년동기대비(%)	-89 	90 	31 	-7 	-5 	42 		
AJ네트웍스	연결	  컨센서스대비(%)		44 	-25 	-	-	-		
AK홀딩스	연결	매출액(억원)	"37,880 "	"44,797 "	"44,883 "					
AK홀딩스	연결	  전년동기대비(%)	20 	18 	0 					
AK홀딩스	연결	  컨센서스대비(%)				-	-	-		
AK홀딩스	연결	영업이익(억원)	-218 	"2,791 "	"1,303 "					
AK홀딩스	연결	  전년동기대비(%)	적지	흑전	-53 					
AK홀딩스	연결	  컨센서스대비(%)				-	-	-		
AK홀딩스	연결	당기순이익(억원)	"-1,249 "	"1,304 "	-166 					
AK홀딩스	연결	  전년동기대비(%)	적지	흑전	적전					
AK홀딩스	연결	  컨센서스대비(%)				-	-	-		
APS	연결	매출액(억원)	408 	410 	940 					
APS	연결	  전년동기대비(%)	4 	1 	129 					
APS	연결	  컨센서스대비(%)	17 			-	-	-		
APS	연결	영업이익(억원)	-153 	-186 	-226 					
APS	연결	  전년동기대비(%)	적지	적지	적지					
APS	연결	  컨센서스대비(%)	적지			-	-	-		
APS	연결	당기순이익(억원)	64 	140 	-34 					
APS	연결	  전년동기대비(%)	-73 	120 	적전					
APS	연결	  컨센서스대비(%)	-42 			-	-	-		
AP시스템	연결	매출액(억원)	"4,866 "	"5,336 "	"5,167 "					
AP시스템	연결	  전년동기대비(%)	-8 	10 	-3 					
AP시스템	연결	  컨센서스대비(%)				-	-	-		
AP시스템	연결	영업이익(억원)	905 	601 	472 					
AP시스템	연결	  전년동기대비(%)	41 	-34 	-22 					
AP시스템	연결	  컨센서스대비(%)				-	-	-		
AP시스템	연결	당기순이익(억원)	822 	600 	518 					
AP시스템	연결	  전년동기대비(%)	44 	-27 	-14 					
AP시스템	연결	  컨센서스대비(%)				-	-	-		
AP위성	연결	매출액(억원)	536 	494 	586 					
AP위성	연결	  전년동기대비(%)	33 	-8 	19 					
AP위성	연결	  컨센서스대비(%)				-	-	-		
AP위성	연결	영업이익(억원)	45 	101 	73 					
AP위성	연결	  전년동기대비(%)	434 	124 	-28 					
AP위성	연결	  컨센서스대비(%)				-	-	-		
AP위성	연결	당기순이익(억원)	41 	105 	104 					
AP위성	연결	  전년동기대비(%)	191 	158 	-1 					
AP위성	연결	  컨센서스대비(%)				-	-	-		
