기업,구분,항목,Dec-22,Dec-23,Dec-24,2025/12(E),2026/12(E),2027/12(E),23,24,25,26,27
3S,연결,매출액(억원),,,,,,,,,,,
3S,연결,  전년동기대비(%),,,,,,,,,,,
3S,연결,  컨센서스대비(%),,,,,,,,,,,
3S,연결,영업이익(억원),,,,,,,,,,,
3S,연결,  전년동기대비(%),,,,,,,,,,,
3S,연결,  컨센서스대비(%),,,,,,,,,,,
3S,연결,당기순이익(억원),,,,,,,,,,,
3S,연결,  전년동기대비(%),,,,,,,,,,,
3S,연결,  컨센서스대비(%),,,,,,,,,,,
AJ네트웍스,연결,매출액(억원),"11,936.52","9,365.25","10,141.56","11,070","11,690","12,320",-22%,8%,9%,6%,5%
AJ네트웍스,연결,  전년동기대비(%),21.56,-21.54,8.29,9.15,5.6,5.39,-200%,-138%,10%,-39%,-4%
AJ네트웍스,연결,  컨센서스대비(%),,-9.61,-1.55,-,-,-,#DIV/0!,-84%,#VALUE!,#VALUE!,#VALUE!
AJ네트웍스,연결,영업이익(억원),764.19,784.72,727.9,690,850,940,3%,-7%,-5%,23%,11%
AJ네트웍스,연결,  전년동기대비(%),58.97,2.69,-7.24,-5.21,23.19,10.59,-95%,-369%,-28%,-545%,-54%
AJ네트웍스,연결,  컨센서스대비(%),,2.78,-13.55,-,-,-,#DIV/0!,-587%,#VALUE!,#VALUE!,#VALUE!
AJ네트웍스,연결,당기순이익(억원),86.67,164.72,216.01,200,190,270,90%,31%,-7%,-5%,42%
AJ네트웍스,연결,  전년동기대비(%),-88.71,90.05,31.14,-7.41,-5,42.11,-202%,-65%,-124%,-33%,-942%
AJ네트웍스,연결,  컨센서스대비(%),,44.18,-25.17,-,-,-,#DIV/0!,-157%,#VALUE!,#VALUE!,#VALUE!
AK홀딩스,연결,매출액(억원),"37,879.60","44,796.60","44,882.81",,,,18%,0%,-100%,#DIV/0!,#DIV/0!
AK홀딩스,연결,  전년동기대비(%),19.58,18.26,0.19,,,,-7%,-99%,-100%,#DIV/0!,#DIV/0!
AK홀딩스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
AK홀딩스,연결,영업이익(억원),-218.22,"2,791.24","1,303.20",,,,-1379%,-53%,-100%,#DIV/0!,#DIV/0!
AK홀딩스,연결,  전년동기대비(%),적지,흑전,-53.31,,,,#VALUE!,#VALUE!,-100%,#DIV/0!,#DIV/0!
AK홀딩스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
AK홀딩스,연결,당기순이익(억원),"-1,248.58","1,303.95",-165.86,,,,-204%,-113%,-100%,#DIV/0!,#DIV/0!
AK홀딩스,연결,  전년동기대비(%),적지,흑전,적전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
AK홀딩스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
APS,연결,매출액(억원),408.22,410.47,939.65,,,,1%,129%,-100%,#DIV/0!,#DIV/0!
APS,연결,  전년동기대비(%),3.57,0.55,128.92,,,,-85%,23340%,-100%,#DIV/0!,#DIV/0!
APS,연결,  컨센서스대비(%),16.63,,,-,-,-,-100%,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
