일자,지수명,종가,대비,등락률,PER,PBR,배당수익률
20250404,코스피,2465.42,-21.28,-0.86,0.0,0.0,0.0
20250404,코스피 200,328.67,-4.25,-1.28,0.0,0.0,0.0
20250404,코스피 100,2474.48,-35.13,-1.4,0.0,0.0,0.0
20250404,코스피 50,2275.2,-36.76,-1.59,0.0,0.0,0.0
20250404,코스피 200 중소형주,1297.39,2.11,0.16,0.0,0.0,0.0
20250404,코스피 200 초대형제외 지수,253.43,-2.15,-0.84,0.0,0.0,0.0
20250404,코스피200제외 코스피지수,3148.0,7.9,0.25,0.0,0.0,0.0
20250404,코스피 200 커뮤니케이션서비스,1882.06,19.31,1.04,0.0,0.0,0.0
20250404,코스피 200 건설,289.81,-3.9,-1.33,0.0,0.0,0.0
20250404,코스피 200 중공업,602.05,-9.29,-1.52,0.0,0.0,0.0
20250404,코스피 200 철강/소재,869.21,-6.11,-0.7,0.0,0.0,0.0
20250404,코스피 200 에너지/화학,895.2,10.05,1.14,0.0,0.0,0.0
20250404,코스피 200 정보기술,2545.87,-54.76,-2.11,0.0,0.0,0.0
20250404,코스피 200 금융,832.29,-3.92,-0.47,0.0,0.0,0.0
20250404,코스피 200 생활소비재,888.86,8.45,0.96,0.0,0.0,0.0
20250404,코스피 200 경기소비재,1520.9,0.78,0.05,0.0,0.0,0.0
20250404,코스피 200 산업재,730.69,9.98,1.38,0.0,0.0,0.0
20250404,코스피 200 헬스케어,1971.44,-22.99,-1.15,0.0,0.0,0.0
20250404,음식료·담배,3845.61,-16.3,-0.42,0.0,0.0,0.0
20250404,섬유·의류,211.98,1.59,0.76,0.0,0.0,0.0
20250404,종이·목재,265.52,11.52,4.54,0.0,0.0,0.0
20250404,화학,3213.0,42.33,1.34,0.0,0.0,0.0
20250404,제약,15499.54,-327.24,-2.07,0.0,0.0,0.0
20250404,비금속,3663.27,50.02,1.38,0.0,0.0,0.0
20250404,금속,4708.66,-3.12,-0.07,0.0,0.0,0.0
20250404,기계·장비,1252.57,-25.21,-1.97,0.0,0.0,0.0
20250404,전기전자,22096.91,-439.82,-1.95,0.0,0.0,0.0
20250404,의료·정밀기기,1275.98,-21.18,-1.63,0.0,0.0,0.0
20250404,운송장비·부품,3136.84,-23.22,-0.73,0.0,0.0,0.0
20250404,유통,336.25,3.67,1.1,0.0,0.0,0.0
20250404,전기·가스,731.15,5.9,0.81,0.0,0.0,0.0
20250404,건설,70.8,0.17,0.24,0.0,0.0,0.0
20250404,운송·창고,1639.15,4.12,0.25,0.0,0.0,0.0
20250404,통신,457.5,5.59,1.24,0.0,0.0,0.0
20250404,금융,457.51,-2.65,-0.58,0.0,0.0,0.0
20250404,증권,2162.43,-11.96,-0.55,0.0,0.0,0.0
20250404,보험,19023.7,-111.72,-0.58,0.0,0.0,0.0
20250404,일반서비스,1070.73,-9.74,-0.9,0.0,0.0,0.0
20250404,제조,6279.75,-83.2,-1.31,0.0,0.0,0.0
20250404,코스피 대형주,2460.47,-28.22,-1.13,0.0,0.0,0.0
20250404,코스피 중형주,2706.86,11.91,0.44,0.0,0.0,0.0
20250404,코스피 소형주,2109.96,17.0,0.81,0.0,0.0,0.0
20250404,코스피 200 비중상한 30%,328.52,-4.25,-1.28,0.0,0.0,0.0
20250404,코스피 200 비중상한 25%,328.84,-4.25,-1.28,0.0,0.0,0.0
20250404,코스피 200 비중상한 20%,322.78,-3.88,-1.19,0.0,0.0,0.0
20250404,오락·문화,1097.92,33.76,3.17,0.0,0.0,0.0
20250404,IT 서비스,1035.99,6.96,0.68,0.0,0.0,0.0
20250404,부동산,918.2,-3.98,-0.43,0.0,0.0,0.0
20250404,코스피 200 TOP 10,1191.15,-14.46,-1.2,0.0,0.0,0.0
20250403,코스피,2486.7,-19.16,-0.76,13.03,0.87,2.0
20250403,코스피 200,332.92,-3.34,-0.99,11.98,0.86,2.16
20250403,코스피 100,2509.61,-25.33,-1.0,11.92,0.88,2.15
20250403,코스피 50,2311.96,-26.33,-1.13,11.28,0.88,2.2
20250403,코스피 200 중소형주,1295.28,-11.84,-0.91,12.66,0.66,2.34
20250403,코스피 200 초대형제외 지수,255.58,-1.66,-0.65,11.94,0.84,2.05
20250403,코스피200제외 코스피지수,3140.1,-14.26,-0.45,11.52,0.58,2.33
20250403,코스피 200 커뮤니케이션서비스,1862.75,31.81,1.74,23.59,1.22,1.95
20250403,코스피 200 건설,293.71,0.75,0.26,9.39,0.53,1.09
20250403,코스피 200 중공업,611.34,4.66,0.77,46.92,2.45,0.38
20250403,코스피 200 철강/소재,875.32,-1.2,-0.14,29.01,0.36,2.82
20250403,코스피 200 에너지/화학,885.15,-18.81,-2.08,0.0,0.49,2.29
20250403,코스피 200 정보기술,2600.63,-67.18,-2.52,13.84,0.9,1.35
20250403,코스피 200 금융,836.21,-18.63,-2.18,6.09,0.52,4.23
20250403,코스피 200 생활소비재,880.41,-2.4,-0.27,11.07,0.71,1.82
20250403,코스피 200 경기소비재,1520.12,-28.98,-1.87,5.89,0.6,3.61
20250403,코스피 200 산업재,720.71,4.07,0.57,20.26,1.79,1.14
20250403,코스피 200 헬스케어,1994.43,64.71,3.35,53.68,2.92,0.25
20250403,음식료·담배,3861.91,-26.64,-0.69,11.68,0.99,2.57
20250403,섬유·의류,210.39,-5.28,-2.45,7.31,0.56,2.71
20250403,종이·목재,254.0,-0.95,-0.37,0.0,0.36,2.84
20250403,화학,3170.67,-64.35,-1.99,79.25,0.59,1.66
20250403,제약,15826.78,613.82,4.03,78.09,3.15,0.21
20250403,비금속,3613.25,-12.96,-0.36,7.25,0.41,4.75
20250403,금속,4711.78,-31.28,-0.66,19.64,0.52,2.58
20250403,기계·장비,1277.78,-5.48,-0.43,37.69,1.65,1.4
20250403,전기전자,22536.73,-519.65,-2.25,15.85,1.19,1.54
20250403,의료·정밀기기,1297.16,-20.75,-1.57,57.16,0.68,0.48
20250403,운송장비·부품,3160.06,22.36,0.71,8.93,0.95,2.32
20250403,유통,332.58,-2.58,-0.77,13.3,0.57,2.66
20250403,전기·가스,725.25,5.85,0.81,4.08,0.34,0.33
20250403,건설,70.63,-0.01,-0.01,14.45,0.44,1.99
20250403,운송·창고,1635.03,-40.98,-2.45,6.45,0.73,2.48
20250403,통신,451.91,1.76,0.39,10.44,0.76,5.27
20250403,금융,460.16,-6.45,-1.38,7.16,0.53,3.59
20250403,증권,2174.39,-39.57,-1.79,8.19,0.46,3.45
20250403,보험,19135.42,-244.03,-1.26,5.25,0.54,4.52
20250403,일반서비스,1080.47,9.72,0.91,18.43,1.77,1.8
20250403,제조,6362.95,-54.91,-0.86,16.38,1.05,1.63
20250403,코스피 대형주,2488.69,-19.31,-0.77,13.05,0.98,1.92
20250403,코스피 중형주,2694.95,-22.55,-0.83,13.59,0.58,2.35
20250403,코스피 소형주,2092.96,-13.04,-0.62,11.72,0.44,2.64
